VALUES;CIQUAL8934;Quenelle de poisson, cuite;Quenelle de poisson, cuite;Quenelle, fish, cooked;CIQUAL;Plats composés
VALUES;CIQUAL9230;Pop-corn ou Maïs éclaté, à  l'huile, salé;Pop-corn ou Maïs éclaté, à  l'huile, salé;Popcorn, oil-popped, salted;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL9231;Pop-corn ou Maïs éclaté, à  l'air, non salé;Pop-corn ou Maïs éclaté, à  l'air, non salé;Popcorn, air-popped, no salt;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL9313;Flocons d'avoine, cuits à  l'eau;Flocons d'avoine, cuits à  l'eau;Oats porridge, made with water;CIQUAL;Céréales petit déjeuner et barres céréalières
VALUES;CIQUAL10023;Beignet de crevette;Beignet de crevette;Shrimp fritters;CIQUAL;Plats composés
VALUES;CIQUAL20914;Escalope végétale ou Steak à  base de soja;Escalope végétale ou Steak à  base de soja;Soy burger;CIQUAL;Plats composés
VALUES;CIQUAL23000;Gâteau (aliment moyen);Gâteau (aliment moyen);Cake (average);CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23007;Gâteau mousse de fruits sur génoise, type miroir;Gâteau mousse de fruits sur génoise, type miroir;Sponge cake with fruit mousse;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23021;Baba au rhum;Baba au rhum;Rum baba;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23024;Macaron moelleux fourré à  la confiture ou à  la crème;Macaron moelleux fourré à  la confiture ou à  la crème;Macaroon filled with jam or cream;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23032;Brownie au chocolat;Brownie au chocolat;Brownies, chocolate-nut;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23050;Biscuit de Savoie;Biscuit de Savoie;Sponge cake;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23081;Quatre-quarts, préemballé;Quatre-quarts, préemballé;Pound cake, commercial;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23121;Far aux pruneaux;Far aux pruneaux;Breton cake with prunes;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23200;Pain d'épices;Pain d'épices;Gingerbread;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23300;Baklava ou baklawa (pâtisserie orientale aux amandes et sirop);Baklava ou baklawa (pâtisserie orientale aux amandes et sirop);Baklava oriental pastry;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23301;Corne de gazelle (pâtisserie orientale aux amandes et sirop);Corne de gazelle (pâtisserie orientale aux amandes et sirop);Corne de gazelle oriental pastry;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23455;Chou à  la crème (chantilly ou pâtissière);Chou à  la crème (chantilly ou pâtissière);Pastry cream puff;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23467;Chouquette;Chouquette;Puff pastry, sugar coated, from bakery;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23477;àclair;àclair;Eclair, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23480;Chausson aux pommes;Chausson aux pommes;Apple turnover, from bakery;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23490;Tarte ou tartelette aux pommes;Tarte ou tartelette aux pommes;Apple pie or tart, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23493;Crumble aux pommes;Crumble aux pommes;Apple crumble;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23499;Tarte ou tartelette aux fruits;Tarte ou tartelette aux fruits;Fruit pie or tart, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23501;Tarte à  la crème;Tarte à  la crème;Custard pie;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23525;Flan pâtissier aux oeufs ou à  la parisienne;Flan pâtissier aux oeufs ou à  la parisienne;Flan with pie crust;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23531;Charlotte aux fruits;Charlotte aux fruits;Fruit charlotte, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23585;Gâteau au chocolat;Gâteau au chocolat;Cake, chocolate;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23589;Gâteau au fromage blanc;Gâteau au fromage blanc;Cheesecake, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23684;Galette des rois feuilletée, fourrée frangipane;Galette des rois feuilletée, fourrée frangipane;Twelfth Night cake;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23800;Crêpe au froment, nature;Crêpe au froment, nature;Crepe, plain;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23801;Crêpe ou galette bretonne au sarrasin;Crêpe ou galette bretonne au sarrasin;Buckwheat crepe;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23805;Blini;Blini;Blinis;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23815;Crêpe au froment, sucrée;Crêpe au froment, sucrée;Crepe with sugar;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23820;Crêpe au froment, fourrée à  la confiture;Crêpe au froment, fourrée à  la confiture;Crepe, filled with jam;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23821;Crêpe au froment, fourrée au chocolat ou à  la pâte à  tartiner chocolat et noisettes;Crêpe au froment, fourrée au chocolat ou à  la pâte à  tartiner chocolat et noisettes;Crepe, filled with chocolate;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23855;Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée;Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée;Wafle, industrial;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23880;Beignet nature;Beignet nature;Doughnut, plain;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23881;Beignet à  la confiture;Beignet à  la confiture;Doughnut, jam filled, from bakery;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23883;Beignet aux fruits;Beignet aux fruits;Fritter, fruit;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL23900;Pâtisserie (aliment moyen);Pâtisserie (aliment moyen);Pastry (average);CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23909;Cake aux fruits;Cake aux fruits;Fruit cake;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23939;Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait;Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait;Mini pound cake with chocolate filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL23940;Gâteau moelleux fourré au chocolat multicouche;Gâteau moelleux fourré au chocolat multicouche;Multi-layer mini pound cake;CIQUAL;Pâtisseries et biscuits
