MAPPING;Default;
PATH;/System/ProductHierarchy/bcpg:entityLists/rawMaterial_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:parentLevel;bcpg:lkvValue
VALUES;CIQUAL;Céréales et pâtes
VALUES;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL;Produits laitiers et entremets
VALUES;CIQUAL;Fromages
VALUES;CIQUAL;Oeufs et dérivés
VALUES;CIQUAL;Matières grasses
VALUES;CIQUAL;Viandes
VALUES;CIQUAL;Volailles
VALUES;CIQUAL;Abats
VALUES;CIQUAL;Charcuteries et salaisons
VALUES;CIQUAL;Produits de la mer
VALUES;CIQUAL;Fruits, Légumes
VALUES;CIQUAL;Fruits
VALUES;CIQUAL;Jus et nectars
VALUES;CIQUAL;Graines oléagineuses et châtaignes
VALUES;CIQUAL;Sucres et confiseries
VALUES;CIQUAL;Boissons sans alcool
VALUES;CIQUAL;Boissons alcoolisées
VALUES;CIQUAL;Salades composées et crudités
VALUES;CIQUAL;Soupes et bouillons
VALUES;CIQUAL;Assaisonnements et sauces
VALUES;CIQUAL;Denrées destinées à une alimentation particulière
VALUES;CIQUAL;Ingrédients divers
VALUES;CIQUAL;Compléments alimentaires
VALUES;CIQUAL;Epicerie
VALUES;CIQUAL;Boulangerie-viennoiserie
VALUES;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL;Céréales petit déjeuner et barres céréalières
VALUES;CIQUAL;Plats composés
VALUES;CIQUAL;Sandwichs
