PATH;/System/Characts/bcpg:entityLists/PhysicoChems;
TYPE;bcpg:physicoChem;
COLUMNS;cm:name;bcpg:physicoChemUnit
VALUES;Saponification;-
VALUES;Density;-
VALUES;HLB;-
VALUES;Dielectric Constant (25°C);-
VALUES;Specific Gravity (25°C/25°C);-
VALUES;Viscosity (cP, 25°C);-
VALUES;Viscosity (cP, 80°C;-
VALUES;Acid Value (mg KOH/g);-
VALUES;Flash Point (°C);°C
