PATH;/System/Lists/bcpg:entityLists/NutFactsMethods
TYPE;bcpg:listValue
COLUMNS;cm:name
VALUES;Données fournisseurs
VALUES;Calcul manuel
VALUES;Formulation
VALUES;Laboratoire externe
VALUES;Analyse interne
VALUES;CIQUAL
VALUES;CIQUAL 2008
VALUES;CIQUAL 2009
VALUES;CIQUAL 2012
VALUES;USDA
VALUES;-
