PATH;/System/ProjectLists/bcpg:entityLists/Sponsors
TYPE;bcpg:listValue
COLUMNS;cm:name
VALUES;Direction
VALUES;Marketing
VALUES;Qualité
VALUES;Achat
VALUES;Client
