VALUES;Menus - kits;Sushis
VALUES;Quiches;Quiches individuelles
;;
;;
;;
;;
PATH;/System/ProductHierarchy/bcpg:entityLists/localSemiFinishedProduct_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:parentLevel;bcpg:lnkValue
VALUES;0;0
;;
PATH;/System/ProductHierarchy/bcpg:entityLists/semiFinishedProduct_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:parentLevel;bcpg:lnkValue
VALUES;0;0
