"PATH";"/System/Characts/Costs";
"TYPE";"bcpg:cost";
"COLUMNS";"cm:name";"bcpg:costCurrency"
"VALUES";"Coût MP";"€"
"VALUES";"Coût Emb";"€"
"VALUES";"Coût prèv MP";"€"
"VALUES";"Coût prèv Emb";"€"
