"PATH";"/System/Characts/bcpg:entityLists/Organos";
"TYPE";"bcpg:organo";
"COLUMNS";"cm:name";"cm:description"
"VALUES";"Couleur";
"VALUES";"Texture";
"VALUES";"Saveur";
"VALUES";"Goût";
"VALUES";"Aspect";
"VALUES";"Odeur";
"VALUES";"Toucher";
