STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL40105;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;2,2;5;27,4;27,4;1,26;0;691;164;0;691;164;0;0;64,1;5,5;1,78;0,612;0,765;7730;182;0,855;0,38;10,3;0,253;3,42;17,7;7,72;1,21;42,5;398;0;0;292
VALUES;CIQUAL40116;76;25;405;263;11;0,359;10,6;0,496;3,98;0;5;24,5;24,5;0,8;0;671;160;0;671;160;0;0;66,8;6,51;2,06;1,42;1,99;3980;30;0;0;27,9;0,291;1,99;11;6,67;0,755;16,8;578;0;0;563
VALUES;CIQUAL40106;64,8;22,4;229;287;5,36;0,24;3,98;15,7;8,52;37,8;2,88;15,4;15,4;7,33;0;528;125;0;528;125;0;0;72,1;3,82;1,95;1,49;0,221;2630;11;0,3;0,45;21;0,22;2,52;13,6;8,4;0,455;54,2;155;0;0;370
VALUES;CIQUAL40107;89;28,3;302;450;9;0,286;5,05;20,1;13,2;22;5;25;25;1,57;0;598;142;0;598;142;0;0;67,7;3,96;0;0,993;1,21;10500;43,5;2,52;0,71;13,2;0,147;1,72;18,8;1,81;1,03;71,4;404;0;0;376
VALUES;CIQUAL40109;268;18,1;230;0;7,04;0,281;4,8;0,449;3,93;2,2;5;24,7;24,7;0,17;0;653;155;0;653;155;0;0;67,4;6,21;0;0;0;14500;0;0,2;0;0;0,371;2,37;14,7;6,75;2,3;19,7;0;0;0;530
VALUES;CIQUAL40701;766;18,3;126;214;8,5;0,1;9,4;0,1;6;37;32;32,4;32,4;0;0;632;150;0;632;150;0;0;63,9;2,1;0,904;0,709;0,403;2;30;0,5;0,12;1;0,14;0,198;3,6;0,3;0,12;6,8;20;0;0;355
VALUES;CIQUAL40202;75,3;16,7;176;250;8;0,0275;2,26;0,15;3,31;11,9;2,15;15,1;15,1;0,4;0,4;774;186;0;774;186;0;0;67,7;13,8;5,19;5,92;0,841;0;0;0;0,19;2,93;0,114;9,88;4,2;1,33;0,173;5,1;10,7;0;0;84
VALUES;CIQUAL40203;383;9,44;144;184;14,5;0,0437;3,06;0,127;2,2;2,2;5;22,6;22,6;3,03;0;1010;243;0;1010;243;0;0;57,9;15,6;5,39;7,84;0,917;0;0;0,4;0,24;1,3;0,036;0,303;3,9;0,907;0,138;6,62;7;0;0;138
VALUES;CIQUAL40201;64;18;166;162;9;0,047;2,34;0,21;4,16;0;0;23,4;23,4;0;0;901;216;0;901;216;0;0;60,5;13,6;5,1;5,82;0,826;0;0;0;1,1;6;0,09;0,35;2,04;0,92;0,155;6,05;9;0;0;200
VALUES;CIQUAL40305;59;24;627;435;4;0,021;0,87;0,072;1,56;0;4;21,8;21,8;;0;536;127;0;536;127;0;0;73,6;4,46;1,09;1,32;0,305;0;0;0;0,6;39,4;0,072;0,1;3,89;1,42;0,0535;3,88;20;0;0;312
