PATH;/System/Lists/bcpg:entityLists/NutFactsMethods
TYPE;bcpg:listValue
COLUMNS;cm:name
VALUES;Supplier data
VALUES;Manual calculation
VALUES;Formulation
VALUES;External laboratory
VALUES;Internal analysis
VALUES;CIQUAL
VALUES;CIQUAL 2008
VALUES;CIQUAL 2009
VALUES;CIQUAL 2012
VALUES;USDA
VALUES;-
