COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Polyols totaux;Résidu à sec;Alcool (éthanol);Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n-9), oléique;AG 18:2 9c,12c (n-6), linoléique;AG 18:3 c9,c12,c15 (n-3), alpha-linolénique;AG 20:4 5c,8c,11c,14c (n-6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n-3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;Cholestérol;Sel;Calcium;Chlorure;Cuivre;Fer;Iode;Magnésium;Manganèse;Phosphore;Potassium;Sélénium;Sodium;Zinc;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;19042;CIQUAL;Laits de vache liquides (non concentrés);Lait demi-écrémé, pasteurisé;Lait demi-écrémé, pasteurisé;196;46,5;197;46,8;89,4;3,54;3,47;4,76;1,51;;;0;0;0,8;0;0;1,04;0,34;0,054;0,083;0,083;0,083;0,083;0,07;0,11;0,35;0,17;0,31;0,029;0,0096;0;0;0;6;0,093;119;100;0,0031;0,031;15,8;11,1;0,002;96;153;3,35;37,2;0,41;13,8;7,88;0,085;0,041;0;;1,3;0,047;0,18;0,097;0,34;0,048;11,5;0,49
VALUES;19049;CIQUAL;Laits de vache liquides (non concentrés);Lait demi-écrémé, UHT, enrichi en vitamines;Lait demi-écrémé, UHT, enrichi en vitamines;192;45,6;193;45,9;;3,24;3,18;4,8;1,53;4,8;;0;0;0,25;0;0;1;;;;;;;;;;;;;;;;;;0,13;120;;;;;;;;;;50;;;;0,75;;;;;0,17;0,21;;0,9;;;0,39
VALUES;19050;CIQUAL;Laits de vache liquides (non concentrés);Lait écrémé, UHT;Lait écrémé, UHT;144;33,8;145;34,1;90,9;3,31;3,24;4,96;0,12;4,73;;0;0;0,74;0;0;0,1;;;;;;;;;;;;;;;;;2;0,11;105;100;0,007;0,028;13,6;12,3;0,0028;92,1;166;10;44,9;0,37;1;;;;;;0,89;0,049;0,19;0,09;0,42;0,041;5,11;0,39
VALUES;19051;CIQUAL;Laits de vache liquides (non concentrés);Lait écrémé, pasteurisé;Lait écrémé, pasteurisé;146;34,5;148;34,8;90,8;3,28;3,21;4,99;0,19;4,93;;0;0;0,73;0;0;0,11;0,046;0,0057;0,0065;0,0065;0,0023;0,0051;0,0059;0,016;0,047;0,018;0,046;0,0043;0,0014;0;0;0;2,5;0,11;123;100;0,012;0,03;19;11,6;0,0055;99;157;1,66;43,2;0,42;1,78;7;0,075;0,009;0;;1,3;0,043;0,18;0,092;0,36;0,044;4,9;0,49
VALUES;19060;CIQUAL;Laits de vache liquides (non concentrés);Lait demi-écrémé, à teneur réduite en lactose;Lait demi-écrémé, à teneur réduite en lactose;192;45,7;194;46;;3,27;3,2;4,8;1,53;4,8;;0;0;0,25;0;0;1;;;;;;;;;;;;;;;;;;0,13;120;;;;;;;;;;50;;;;;;;;;;;;;;;
VALUES;19021;CIQUAL;Laits de vache concentrés ou en poudre;Lait en poudre, entier;Lait en poudre, entier;2070;495;2080;497;3,05;27,2;26,6;37,3;26,6;37,3;0;0;0;5,9;0;0;17,3;7,22;0,76;0,91;0,58;0,38;0,83;1,04;2,95;7,91;2,7;5,95;0,56;0,2;;;;106;0,81;947;886;0,058;0,62;41;90,5;0,061;708;1190;14;322;3,91;234;170;1,2;0,68;;;10;0,33;1,54;0,65;2,84;0,3;48,3;3,05
VALUES;19026;CIQUAL;Laits de vache concentrés ou en poudre;Lait concentré non sucré, entier;Lait concentré non sucré, entier;552;132;554;133;74,8;7,07;6,92;9,18;7,52;9,18;;0;0;1,46;0;0;;;;;;;;;;;;;;;;;;;0,29;299;220;;0,06;28;29;0,011;229;339;2,1;114;0,8;145;;0,1;0,2;;;1,9;0,055;1,8;0,2;3,8;0,28;69;3,5
VALUES;19027;CIQUAL;Laits de vache concentrés ou en poudre;Lait concentré sucré, entier;Lait concentré sucré, entier;1380;328;1380;328;26,1;7,7;7,54;56,6;7,87;56,6;0;0;0;1,71;0;0;5,17;1,99;0,27;0,28;0,16;0,095;0,18;0,18;0,76;2,34;1,18;;;;;0;0;34;0,21;290;264;0,013;0,19;28;25,2;0,0056;220;371;4,5;85,2;0,96;73;14;0,2;0,16;0,6;;2,6;0,09;1,11;0,21;2,28;0,051;40;1,97
VALUES;19044;CIQUAL;Laits de vache concentrés ou en poudre;Lait en poudre, demi-écrémé;Lait en poudre, demi-écrémé;1830;435;1840;438;2,88;31,9;31,2;44,2;14,9;40,4;;0;0;6,25;0;0;;;;;;;;;;;;;;;;;;;0,83;1060;1010;;0,35;75;95;0,048;782;1330;8,8;330;3,7;310;;0,2;0,4;;;;0,21;1,8;0,8;3,8;0,32;69;3,5
VALUES;19054;CIQUAL;Laits de vache concentrés ou en poudre;Lait en poudre, écrémé;Lait en poudre, écrémé;1530;361;1540;364;1,95;35,3;34,6;54;0,7;53,1;0;0;0;8,03;0;0;0,34;0,15;0,03;0,019;0,0082;0,0065;0,015;0,016;0,059;0,16;0,058;0,15;0,016;0,014;;0;0;17,5;1,14;1260;1190;0,07;0,31;41;112;0,05;945;1670;13;457;4,42;9,75;1;0,018;0,027;0,1;;8,07;0,43;1,6;0,91;3,6;0,42;46,7;3,85
