COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Sodium;Chlorure;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;24999;CIQUAL;;Table Ciqual 2020;Dessert (aliment moyen);Dessert (aliment moyen);;;;;45,4;4,63;4,61;36,6;12,9;23,7;9,53;1,54;0,081;;0,083;5,18;4,74;1,68;0,14;0,19;0,083;0,14;0,35;0,55;2,47;0,99;4,62;1,32;0,37;0,012;0,0041;0,0051;56,7;0,38;153;178;23,8;107;181;75;0,23;1,45;0,15;0,5;7,04;11;56,3;34,6;0,27;1,97;;;1,37;0,084;0,15;0,61;0,4;0,056;30,8;0,21
VALUES;25601;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de thon et légumes, appertisée;Salade de thon et légumes, appertisée;0;;0;;76,5;9,15;9,15;7,74;4,7;3,08;4,1;2,7;0;;;0,56;1,83;1,76;0,05;0,05;0,05;0,05;0,05;0,008;0,38;0,12;;1,15;0,056;;0,008;0,039;19,2;1,11;445;731;25,1;88,4;232;20,7;0,1;1,1;0,1;0,6;;2;2;;0,5;1,6;;;2,75;0,04;0,053;4,45;0,16;0,29;31;1,45
VALUES;25602;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade composée avec viande ou poisson, appertisée;Salade composée avec viande ou poisson, appertisée;0;;0;;76,7;8,06;8,06;6,4;5,3;1,9;3,3;2;0;;;0,16;3,27;1,54;0,01;0,01;0,01;0,01;0,01;0,01;0,12;0,04;2,24;1,08;0,28;0,016;0,016;0,15;15,2;0,95;381;584;20;92;220;22;0,1;0,7;0,07;0,38;30;20;21;781;0,44;2,04;9,75;;;0,032;0,022;4,13;0,2;0,12;11,1;1,23
VALUES;25605;CIQUAL;salades composées et crudités;Table Ciqual 2020;Champignons à la grecque, appertisés;Champignons à la grecque, appertisés;0;;0;;85,2;2,08;2,08;3,95;3,55;2,38;0,99;2,35;0;;;0,23;0,2;1,67;;;;;;;;;;;0,026;;;;0,11;1,26;500;;13,5;64,1;277;27;0,13;1,06;0,17;0,4;1,79;2,46;0;747;0;1,08;;;6,67;0,056;0,21;1,84;0,88;0,088;19,6;0,018
VALUES;25606;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pommes de terre, fait maison;Salade de pommes de terre, fait maison;0;;0;;76;2,68;2,68;9,9;8,2;;;1,3;0;;;1,43;2,48;3,74;;;;0;0,011;0,013;1,03;0,37;;;;;;;68;1,32;529;;15;52;254;19;0,1;0,65;0,12;0,31;;;29;36;0;;;;10;0,077;0,06;0,89;0,53;0,14;7;0
VALUES;25608;CIQUAL;salades composées et crudités;Table Ciqual 2020;Taboulé ou Salade de couscous, préemballé;Taboulé ou Salade de couscous, préemballé;753;179;753;179;60,3;4,88;4,88;23,7;6,7;4,9;17,7;2,5;0;0,9;0,38;0,67;4,23;1,45;0,01;0,01;0,01;0,01;0,01;0,01;0,47;0,15;3,95;1,1;0,34;0,01;0,01;0,01;0,1;1;399;647;25;80;210;24;0,4;0,88;0,16;0,65;20;20;0;149;0;1,26;10,6;;6,27;0,087;0,024;0,5;0,26;0,052;14,5;0
VALUES;25609;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pomme de terre à la piémontaise, préemballée;Salade de pomme de terre à la piémontaise, préemballée;542;130;542;130;75,8;4,5;4,5;8,87;8,3;1,2;6;0,5;0;0,5;0,54;0,82;5,02;2,04;0,01;0,01;0,01;0,01;0,01;0,01;0,54;0,2;4,57;1,47;0,57;0,01;0,01;0,01;29,6;1,08;433;709;16;72;300;13;0,08;0,43;0,07;0,49;20;20;21;93,6;0,5;3,96;10,9;;21,6;0,08;0,049;0,98;0,44;0,099;21,6;
VALUES;25614;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de riz, appertisée;Salade de riz, appertisée;0;;0;;72,5;5,13;5,13;16,1;4,35;1;14,3;1,7;0;;;0,53;2,23;;;;;;0,0042;0,0083;0,36;0,12;2,23;1,05;0,2;;;0,013;6,5;1,1;431;;13,1;66,6;143;23,3;0,1;0,43;0,1;0,3;17,7;5;2;34;0,5;1,63;;;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43
VALUES;25615;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pâtes, végétarienne;Salade de pâtes, végétarienne;0;;0;;72,6;5,7;5,7;13,7;8,1;2,3;10;1,7;0;;;2,37;1,46;3,92;;;;;;;;;;;;;;;6;1,04;51;86;11;37;84;14;0,2;0,6;0,06;0,4;;4;7;1180;0;1,95;;;21;0,04;0,02;0,4;0;0,09;16;0
VALUES;25616;CIQUAL;salades composées et crudités;Table Ciqual 2020;Crudité, sans assaisonnement (aliment moyen);Crudité, sans assaisonnement (aliment moyen);125;29,9;125;29,9;93,2;0,94;0,94;3,07;0,7;2,27;0,22;1,51;0;0,29;0,094;0,12;0,29;0,095;0,0041;0,0041;0,0041;0,0041;0,0041;0,0037;0,12;0,0074;0,21;0,078;0,017;0,0043;0,0041;0,0041;0,076;0,031;12,5;44,9;11,7;25,6;241;25,1;0,17;0,42;0,048;0,17;7,79;7,21;0,017;1930;0,093;0,34;24;;12,2;0,042;0,025;0,37;0,17;0,082;38,8;0
VALUES;25619;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;0;;0;;70,5;5,19;5,19;14;9,94;2,16;7,92;1,98;0;;;1,74;5,85;1,91;;;;;;;;;;;;;0,0023;0,0098;11,3;0,95;378;492;23,3;69,4;193;19;0,15;0,95;0,085;0,53;5,3;3,13;11;494;0,12;1,18;;;12,3;0,064;0,057;1,77;0,28;0,14;18,4;0,14
VALUES;25626;CIQUAL;salades composées et crudités;Table Ciqual 2020;Macédoine de légumes en salade, avec sauce, préemballée;Macédoine de légumes en salade, avec sauce, préemballée;0;;0;;78,3;2,81;2,81;7;9,3;2,3;;4,11;0;;;0,7;;;;;;;;;;;;;;;;;;1,04;426;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;25628;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;0;;0;;71,8;8,13;8,13;4,88;10;1,71;3,17;2;0;;1,66;2,36;4,99;2,09;0,08;0,05;0,03;0,06;0,08;0,26;1,26;0,41;4,6;1,7;0,39;0,01;0,01;0,01;40,7;0,75;301;483;19;150;300;100;0,15;0,5;0,11;0,69;20;20;27,9;627;0,25;2,24;32;;1,11;0,096;0,068;2,29;0,47;0,094;29,3;0,48
VALUES;25629;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;704;168;704;168;65,5;3,79;4,06;17,4;8,3;4,61;9,9;3,3;0;;0,35;0,92;3,95;3,04;0,01;0,01;0,01;0,01;0,01;0,01;0,58;0,24;3,71;2,79;0,25;0,01;0,01;0,01;;0,77;309;484;46;110;140;37;0,62;1,2;0,16;0,77;20;20;;611;0,25;2,67;10;;0,5;0,071;0,01;0,18;0,27;0,059;22,1;
VALUES;26257;CIQUAL;salades composées et crudités;Table Ciqual 2020;Carottes râpées, avec sauce, préemballées;Carottes râpées, avec sauce, préemballées;0;;0;;84,7;0,98;0,98;6,01;5;5,2;;3,64;0;;;0,43;2,53;1,82;;;;;;;;;;0,97;0,24;;;;;0,67;264;;;;;31;;;;;;;;;;;;;;;;;;;;
VALUES;26258;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de betterave, avec sauce, préemballée;Salade de betterave, avec sauce, préemballée;0;;0;;83,5;1,29;1,29;7,45;4,94;5,3;;2,66;0;;;0,37;1,79;1,9;;;;0,12;;;;;;;;;;;;0,7;280;;;;;21;;4;;;;;;;;;;;5;;;;;;;
VALUES;26259;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de chou ou Coleslaw, avec sauce, préemballée;Salade de chou ou Coleslaw, avec sauce, préemballée;435;105;435;105;80,4;0,94;0,94;5,78;8,1;4,72;0,35;3;0;1,06;0,34;0,63;4,83;2,2;0,01;0,01;0,01;0,01;0,01;0,01;0,41;0,13;4,39;1,54;0,66;0,01;0,01;0,01;;0,88;353;556;9,3;29;210;39;0,26;1,3;0,03;0,27;20;20;;1340;0,25;2,21;23;;21,6;0,026;0,01;0,1;0,21;0,093;14,6;
VALUES;26260;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de concombre à la crème/fromage blanc, préemballée;Salade de concombre à la crème/fromage blanc, préemballée;0;;0;;;1,1;1,1;1,97;11,3;1,39;;1,48;0;;;1,35;;;;;;;;;;;;;;;;;;1,07;411;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;26261;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de lentilles et saucisse fumée, préemballée;Salade de lentilles et saucisse fumée, préemballée;0;;0;;;7;7;8,9;11,8;0,9;;3,6;0;;;0,9;;;;;;;;;;;;;;;;;;0,89;355;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;26262;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade grecque, avec sauce, préemballée;Salade grecque, avec sauce, préemballée;0;;0;;;2;2;1,4;7,1;1,4;;2;0;;;2,7;;;;;;;;;;;;;;;;;;1,04;416;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;26263;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de riz à la niçoise, avec sauce, préemballée;Salade de riz à la niçoise, avec sauce, préemballée;0;;0;;73,7;4,45;4,45;15,8;6,08;1,35;;1,5;0;;;0,63;2,51;0,97;;;;;;;;;;0,64;0,3;;;;;0,76;300;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;26269;CIQUAL;salades composées et crudités;Table Ciqual 2020;Taboulé ou Salade de couscous au poulet, préemballé;Taboulé ou Salade de couscous au poulet, préemballé;0;;0;;62,6;6,4;6,4;20,6;7,45;2,48;16,6;2,02;0;;;0,86;3,78;1,75;0,01;0,01;0,01;0,01;0,02;0,02;0,57;0,15;3,78;1,33;0,42;0,01;0,01;0,01;8,24;1,05;424;661;24;100;190;18;0,32;0,8;0,1;0,65;20;20;21;135;0,25;1,48;3,22;;0,5;0,14;0,045;1,16;0,4;0,096;96,5;0,1
VALUES;25900;CIQUAL;soupes;Table Ciqual 2020;Soupe aux lentilles, préemballée à réchauffer;Soupe aux lentilles, préemballée à réchauffer;232;55;232;55;85,8;3,74;3,74;6,6;1,12;0,7;;1,8;0;0;;0,45;0,52;0,13;;;;0;0;0,02;0,27;0,16;;;;;;;3;0,36;143;;19;74;144;25;0,24;1,07;0,17;0,61;16,1;4;0;430;;0;;;1,7;0,07;0,045;0,55;0,14;0,09;20;0,12
VALUES;25901;CIQUAL;soupes;Table Ciqual 2020;Soupe à la volaille et aux légumes, préemballée à réchauffer;Soupe à la volaille et aux légumes, préemballée à réchauffer;129;30,8;129;30,8;;3,09;3,09;2,6;0,8;1,2;;0,4;0;0;;0,3;;;;;;;;;;;;;;;;;;1,75;700;;;;;;;;;;;;;;;;;;;;;1,9;;;;0,11
VALUES;25903;CIQUAL;soupes;Table Ciqual 2020;Soupe aux légumes variés, préemballée à réchauffer;Soupe aux légumes variés, préemballée à réchauffer;165;39,4;165;39,4;90,2;0,76;0,76;5,05;1,56;1,72;2,2;1,1;0;0;;0,55;0,5;0,11;0,026;0,017;0,0086;0,017;0,026;0,077;0,28;0,094;0,44;0,1;0,0063;0,01;0,01;0,01;3,7;0,69;275;442;5,3;19;110;14;0,04;0,14;0,02;0,11;20;20;21;1710;0;0,62;2,53;;5,75;0,29;0,062;0,31;0,33;0,16;39,8;0,052
VALUES;25904;CIQUAL;soupes;Table Ciqual 2020;Soupe de poissons et / ou crustacés, préemballée à réchauffer;Soupe de poissons et / ou crustacés, préemballée à réchauffer;179;42,8;179;42,8;89,4;3,45;3,45;2,88;1,79;0,9;1,7;0,69;0;0;;0,58;0,93;0,25;0,01;0,01;0,01;0,01;0,01;0,07;0,29;0,08;0,71;0,13;0,035;0,01;0,035;0,053;30;0,86;343;611;11;80;110;130;0,05;0,61;0,07;0,25;20;70;59,8;446;0,2;0,32;0,93;;0,5;0,03;0,039;0,63;0,18;0,032;5;1,35
VALUES;25905;CIQUAL;soupes;Table Ciqual 2020;Soupe aux légumes variés, déshydratée reconstituée;Soupe aux légumes variés, déshydratée reconstituée;144;34,5;144;34,5;90,9;0,86;0,86;4,43;1,22;1,07;2,6;1,16;0;0;;0,39;0,45;0,091;0,0045;0,01;0,01;0,01;0,009;0,023;0,3;0,05;0,45;0,081;0,01;0,01;0,01;0,01;2,12;0,69;276;426;7;12,5;60;21;0,05;0,19;0,03;0,12;20;1;21;261;0;0,19;2,42;;3,28;0,05;0,24;0,13;0,12;0,044;8,4;0,029
VALUES;25907;CIQUAL;soupes;Table Ciqual 2020;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;155;37,1;155;37,1;90,8;0,79;0,79;4,46;1,51;0,81;3,2;1,28;0;0;;0,6;0,53;0,27;0,032;0,019;0,013;0,025;0,032;0,089;0,28;0,1;0,53;0,18;0,09;0,01;0,01;0,01;4,73;0,73;290;450;5,6;16;94;16;0,04;0,17;0,02;0,13;20;20;21;120;;0,28;9,13;;7,95;0,01;0,03;0,23;0,14;0,23;29,3;0,045
VALUES;25908;CIQUAL;soupes;Table Ciqual 2020;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;129;30,8;129;30,8;93,8;1,3;1,3;3,86;1;0,77;;0,56;0;0;;0,49;0,29;0,18;0;0;0;0;0,001;0,005;0,2;0,053;;;;;0;0;5;0,82;326;;7,93;17;30,5;7,96;0,057;0,14;0,069;0,1;10;0,5;1;119;0;0,03;0;;;0,055;0,045;0,54;0,074;0,02;2;0,02
VALUES;25909;CIQUAL;soupes;Table Ciqual 2020;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;19,9;4,8;19,9;4,8;98,1;0,2;0,2;0,1;0,4;0;0,1;0;0;0;;0,2;0,09;0,05;;;;;;;;;;;;;;;0;1,08;430;;2;1;15;1;0,01;0,1;0;;0;;0;;;;;;0;0,06;0,01;0;0,02;0,01;12;0,05
VALUES;25910;CIQUAL;soupes;Table Ciqual 2020;Soupe à l'oignon, préemballée à réchauffer;Soupe à l'oignon, préemballée à réchauffer;169;40,4;169;40,4;92,7;1,35;1,35;4,93;1,4;1,5;;1,34;0;0;;0,55;;0,26;0;0;0;;0;0;0,069;0,034;;;;;0;0;0;0,79;315;;1;4;28;12;0,098;0,27;0,054;0,25;;;1;1;0;0,11;0,2;;0,5;0,013;0,01;0,24;0;0,02;6;0
VALUES;25912;CIQUAL;soupes;Table Ciqual 2020;Soupe aux champignons, préemballée à réchauffer;Soupe aux champignons, préemballée à réchauffer;201;48,2;201;48,2;92;0,81;0,81;4,09;3,07;0,91;;0,52;0;0;;1,58;0,4;0,96;0,014;0,011;0,0087;0,022;0,024;0,092;0,68;0,15;0,4;0,31;0,01;;0;0;3,3;0,78;312;490;2;12;62;7;0,018;0,09;0,016;0,06;;8,4;5,5;0;0,1;0,24;9,6;;;0,006;0,008;0,17;0,072;0,007;1;0
VALUES;25913;CIQUAL;soupes;Table Ciqual 2020;Soupe à la carotte, préemballée à réchauffer;Soupe à la carotte, préemballée à réchauffer;139;33,2;139;33,2;91,2;0,61;0,61;3,89;1,41;1,82;2,08;1,22;0;0;;0,96;0,36;0,029;;;;;;;;;;;;;;;;0,65;259;;7;20;140;15;;0,3;;;;;4;3500;;;;;11;0,05;;0,65;;0,08;9;
VALUES;25914;CIQUAL;soupes;Table Ciqual 2020;Soupe à la tomate, préemballée à réchauffer;Soupe à la tomate, préemballée à réchauffer;163;38,7;163;38,7;90,3;0,74;0,74;6,27;0,99;2,95;1,8;0,88;0;0;;0,36;0,29;0,3;0,016;0,0079;0,01;0,0079;0,016;0,055;0,2;0,063;0,28;0,15;0,02;0,01;0,01;0,01;2,9;0,64;259;416;5,9;15;130;11;0,04;0,14;0,03;0,08;20;20;21;1680;0,6;0,69;1,01;;6,4;0,01;0,056;0,58;0,2;0,2;23,8;0,01
VALUES;25915;CIQUAL;soupes;Table Ciqual 2020;Soupe chorba frik, à base de viande et de frik;Soupe chorba frik, à base de viande et de frik;263;62,9;263;62,9;85,1;3,75;3,75;5,4;2,5;0,9;3,9;1,9;0;0;;;;;;;;;;;;;;;;;;;11;0,84;337;;17;54;157;19;0,31;0,97;0,07;0,84;1,4;2;4,4;172;0,02;0,6;;;3,2;0,03;0,04;0,96;0,18;0,07;16;0,11
VALUES;25916;CIQUAL;soupes;Table Ciqual 2020;Soupe minestrone, préemballée à réchauffer;Soupe minestrone, préemballée à réchauffer;204;48,8;204;48,8;89,4;1,2;1,2;5,6;2;1,7;;1,8;0;0;;0,6;0,34;0,29;0,03;0,02;0,01;0,02;0,03;0,05;0,2;0,095;;;;;0;0;1,5;0,75;300;460;12,5;34,5;106;33,3;0,11;0,56;0,11;0,19;2,2;1;0;885;0;0,67;3,2;;1,25;0,023;0,034;0,44;0,22;0,071;10;0
VALUES;25917;CIQUAL;soupes;Table Ciqual 2020;Soupe au pistou, déshydratée reconstituée;Soupe au pistou, déshydratée reconstituée;128;30,4;128;30,4;89,4;1,2;1,2;5,2;0,35;1,2;4;0,8;0;0;;0,2;0,23;0,06;;;;;;;;;;;;;;;1;0,64;256;;14;24;132;19;0,1;0,4;0,1;0,19;2,2;1;0;900;;0,2;;;7;;;;;0,07;18;
VALUES;25919;CIQUAL;soupes;Table Ciqual 2020;Soupe de poissons et / ou crustacés, déshydratée reconstituée;Soupe de poissons et / ou crustacés, déshydratée reconstituée;122;29;122;29;90,6;0,91;0,91;5,09;0,5;1,06;;0,21;0;0;;0,14;;;;;;;;;;;;;;;;;;0,63;253;;;0;0,01;;;;;;;;;;;;;;;;;;;;;
VALUES;25923;CIQUAL;soupes;Table Ciqual 2020;Soupe asiatique, avec pâtes, déshydratée reconstituée;Soupe asiatique, avec pâtes, déshydratée reconstituée;126;29,8;126;29,8;93,3;0,97;0,97;5,25;0,44;1,21;;0,49;0;0;;0,17;;;;;;;;;;;;;;;;;;0,84;334;;;;37,8;;;;;;;;;;;;;;;;;;;;;
VALUES;25924;CIQUAL;soupes;Table Ciqual 2020;Soupe marocaine, déshydratée reconstituée;Soupe marocaine, déshydratée reconstituée;145;34,3;145;34,3;90;1,2;1,2;5,77;0,55;1,49;;0,72;0;0;;0,23;;;;;;;;;;;;;;;;;;0,8;318;;;;80,5;;;;;;;;;;;;;;;;;;;;;
VALUES;25925;CIQUAL;soupes;Table Ciqual 2020;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;110;26,1;110;26,1;92,8;0,63;0,63;4,84;0,41;0,91;;0,28;0;0;;0,2;;;;;;;;;;;;;;;;;;0,72;292;417;;0,013;0,023;;;;;;;;10;90;;;;;30;0,07;;0,8;0,27;;;
VALUES;25928;CIQUAL;soupes;Table Ciqual 2020;Soupe à la volaille et aux légumes, déshydratée reconstituée;Soupe à la volaille et aux légumes, déshydratée reconstituée;115;27,3;115;27,3;;0,99;0,99;4,58;0,44;0,55;;0,51;0;0;;0,17;;;;;;;;;;;;;;;;;;0,73;292;;;;;;;;;;;;;;;;;;3;;;;;0,03;8;
VALUES;25930;CIQUAL;soupes;Table Ciqual 2020;Bouillon de boeuf, déshydraté reconstitué;Bouillon de boeuf, déshydraté reconstitué;38,3;9,05;38,3;9,05;97,6;0,6;0,6;1,33;0,15;0,33;0;0;0;0;;0,057;0,068;0,0072;0;0;0;;0,00067;0,0048;0,03;0,021;0,068;0,0072;0;;0;0;0;0,74;290;;2;0,01;0,01;5,25;0,027;0,15;0,041;0,048;0;;0;0;0;0,01;0;;0;0,0029;0,015;0,55;0,016;0,0083;1,75;0,065
VALUES;25932;CIQUAL;soupes;Table Ciqual 2020;Soupe aux asperges, déshydratée reconstituée;Soupe aux asperges, déshydratée reconstituée;148;35,3;148;35,3;90,8;0,6;0,6;5,14;1,31;0,99;2,8;0,28;0;0;;0,73;;;;;;;;;;;;;;;;;;0,76;303;;;0,015;0,035;;;;;;;;;;;;;;;;;;;;10;
VALUES;25933;CIQUAL;soupes;Table Ciqual 2020;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;158;37,7;158;37,7;;1,1;1,1;5,87;0,8;3,43;;1,3;0;0;;0,5;;;;;;;;;;;;;;;;;;0,77;307;;;;;;;;;;;;;;;;;;20;;;;;;;
VALUES;25934;CIQUAL;soupes;Table Ciqual 2020;Soupe aux céréales et aux légumes, déshydratée reconstituée;Soupe aux céréales et aux légumes, déshydratée reconstituée;201;47,8;201;47,8;90;1,4;1,4;6,8;1,4;1,2;;1,2;0;0;;0,8;;;;;;;;;;;;;;;;;;0,78;312;;9,35;;94;12,5;;0,29;;;;;;;;;;;3,84;0,04;;0,47;;0,07;16,8;
VALUES;25935;CIQUAL;soupes;Table Ciqual 2020;Soupe à la tomate, déshydratée reconstituée;Soupe à la tomate, déshydratée reconstituée;152;36,2;152;36,2;90,4;0,76;0,76;5,79;0,97;2,44;2,4;0,64;0;0;;0,32;0,41;0,16;0,01;0,01;0,01;0,0041;0,0041;0,017;0,26;0,033;0,41;0,15;0,01;0,01;0,01;0,01;2,02;0,69;278;417;5;10;65;11;0,04;0,14;0,03;0,1;20;20;21;147;;0,25;1,33;;0,5;0,02;0,017;0,46;0,064;0,027;6,85;0,14
VALUES;25936;CIQUAL;soupes;Table Ciqual 2020;Soupe aux champignons, déshydratée reconstituée;Soupe aux champignons, déshydratée reconstituée;158;37,8;158;37,8;91,3;0,65;0,65;4,37;1,79;0,63;2,3;0,82;0;0;;0,73;0,6;0,15;0,01;0,01;0,01;0,01;0,01;0,017;0,66;0,058;0,6;0,15;0,01;0,01;0,01;0,01;0,87;0,79;311;512;2,5;9,51;48;10;0,03;0,02;0,02;0,07;20;20;21;14,7;0,25;0,24;0,8;;0,5;0,03;0,034;0,37;0,16;0,033;8,25;0,028
VALUES;25942;CIQUAL;soupes;Table Ciqual 2020;Soupe à l'oignon, déshydratée reconstituée;Soupe à l'oignon, déshydratée reconstituée;101;24;101;24;94,1;0,58;0,58;4,37;0,4;1,3;;0,31;0;0;;0,23;;;;;;;;;;;;;;;;;;0,79;318;517;5,26;0,01;56,7;20;0,043;;0,043;0,083;3,35;1;;;;;;;;;;;;;;
VALUES;25945;CIQUAL;soupes;Table Ciqual 2020;Soupe au potiron, préemballée à réchauffer;Soupe au potiron, préemballée à réchauffer;150;35,9;150;35,9;91,8;0,67;0,67;4,13;1,56;2,37;1,1;1,31;0;0;;0,88;0,56;0,069;0,045;0,027;0,018;0,036;0,045;0,14;0,44;0,13;0,38;0,051;0,018;0,01;0,01;0,01;4,95;0,65;256;421;5,8;17;130;15;0,04;0,14;0,03;0,13;20;20;21;2530;0;0,51;1,03;;0,5;0,018;0,014;0,1;0,13;0,065;9,35;0,036
VALUES;25947;CIQUAL;soupes;Table Ciqual 2020;Bouillon de volaille, déshydraté reconstitué;Bouillon de volaille, déshydraté reconstitué;23,5;5,58;23,5;5,58;97,4;0,6;0,6;0,5;0,13;0,18;0;0,0001;0;0;;0,083;0,022;0,018;;;;;0;0;0,02;0,01;;;;;;;0;0,78;312;;1;0;10;5;0,01;0,05;0;0,01;0;;1;0;;;;;0;0,005;0,01;0,1;0,02;0;1;0,01
VALUES;25948;CIQUAL;soupes;Table Ciqual 2020;Bouillon de légumes, déshydraté reconstitué;Bouillon de légumes, déshydraté reconstitué;22,7;5,38;22,7;5,38;98;0,34;0,34;0,65;0,16;0,19;0,2;0;0;0;;0,14;0,011;0,0067;;;;;;;;;;;;;;;0;0,61;240;;2;0;8;1;0,01;0,1;0;;;;0;2;;;;;0;0,11;0,01;0,1;;0;1;0
VALUES;25949;CIQUAL;soupes;Table Ciqual 2020;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;91,5;21,6;91,5;21,6;92,2;0,63;0,63;4,21;0,18;0,72;3,5;0,32;0;0;;0,099;;;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,7;0,68;271;343;4,8;0;62;9,1;0,06;0,18;0,05;0,08;20;20;21;162;0,25;0,34;0,8;;0,5;0,02;0,04;1,44;1,04;0,018;11;
VALUES;25950;CIQUAL;soupes;Table Ciqual 2020;Soupe à la volaille et aux vermicelles, déshydratée reconstituée;Soupe à la volaille et aux vermicelles, déshydratée reconstituée;90;21,3;90;21,3;94,2;0,75;0,75;3,87;0,25;0,31;3,4;0,26;0;0;;0,081;;;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,72;0,68;272;379;3,5;14;36;7,2;0,05;0,1;0,02;0,1;20;20;21;20,7;;0,08;0,8;;0,5;0,28;0,01;0,1;0,041;0,025;;0,026
VALUES;25953;CIQUAL;soupes;Table Ciqual 2020;Soupe au pistou, préemballée à réchauffer;Soupe au pistou, préemballée à réchauffer;134;31,9;134;31,9;;2;2;4,1;0,5;0,25;;1,5;0;0;;0,2;0,2;0,1;;;;;;;;;;;0,1;;;;;0,65;260;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;25954;CIQUAL;soupes;Table Ciqual 2020;Soupe au potiron, déshydratée reconstituée;Soupe au potiron, déshydratée reconstituée;161;38,3;161;38,3;;0,79;0,79;5,61;1,24;2,64;;0,76;0;0;;0,61;;;;;;;;;;;;;;;;;;0,7;279;;;0,01;0,01;;;;;;;;;;;;;;;;;;;;;
VALUES;25955;CIQUAL;soupes;Table Ciqual 2020;Soupe asiatique, avec pâtes, préemballée à réchauffer;Soupe asiatique, avec pâtes, préemballée à réchauffer;93,8;22,3;93,8;22,3;;0,7;0,7;3,4;0,5;0,5;;0,7;0;0;;0,2;;;;;;;;;;;;;;;;;;0,9;360;;;;;;;;;;;;;;;;;;;;;;;;;
