COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Sodium;Chlorure;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;13051;CIQUAL;fruits;Table Ciqual 2020;Mélange apéritif de fruits exotiques, sec;Mélange apéritif de fruits exotiques, sec;1640;389;1640;389;11,7;2,19;2,19;69,5;10,5;59,4;6,6;3,4;0;1,7;1,35;9,16;0,67;0,2;0,01;0,09;0,98;0,57;4,53;1,79;0,89;0,3;0,66;0,19;0,01;0,01;0,01;0,01;0;0,22;88;75,9;39;67;530;43;0,45;1,1;0,26;0,32;20;3;0;13,6;0,25;0,69;7,52;;0,69;0,039;0,01;0,1;0,25;0,077;19,1;0
VALUES;13089;CIQUAL;fruits;Table Ciqual 2020;Banane, pulpe, sèche;Banane, pulpe, sèche;0;;0;;3;3,89;3,89;78,4;1,81;47,3;;9,9;0;;;0,7;0,15;0,34;0;0;0,001;;0,006;0,013;0,47;0,023;;;;;0;0;0;0,0075;3;;108;74;1490;22;0,57;1,15;0,39;0,61;;3;0;101;0;0,39;2;;7;0,18;0,24;2,8;;0,44;14;0
VALUES;13111;CIQUAL;fruits;Table Ciqual 2020;Pomme, sèche;Pomme, sèche;0;;0;;31,8;0,78;0,78;57,2;0,31;54,6;;8,7;0;2,63;;0,058;0,012;0,14;0;0;0;0;0,00098;0,00098;0,047;0,0084;0,01;0,11;0,029;0;0;0;0;0,22;87;;10,5;38;450;22;0,15;1,4;0,12;0,2;0,5;0,8;0;0;0;0,53;3;;3,9;0,065;0,13;0,76;0,27;0,13;0;0
VALUES;13118;CIQUAL;fruits;Table Ciqual 2020;Pêche, sèche;Pêche, sèche;0;;0;;7,5;5;5;68,9;1;;;14,3;0;;;0,092;0,32;0,42;0;0;0;0;0;0;0,08;0,011;0,31;0,41;0,01;0,002;0;0;0;0,2;79;;80;120;945;25;0,67;6,8;0,63;0,57;;2,8;0;;0;;;;4,8;0,002;0,065;1,3;0,3;0,15;14;0
VALUES;13178;CIQUAL;fruits;Table Ciqual 2020;Canneberge ou cranberry, séchée, sucrée;Canneberge ou cranberry, séchée, sucrée;1410;333;1410;333;14,6;0,5;0,5;76,4;1;72,8;0,35;5,7;0;;1,91;0,2;0,55;0,15;0,01;0,01;0,01;0,01;0,01;0,02;0,11;0,06;0,55;0,12;0,03;0,01;0,01;0,01;0;0,013;5;20;3,9;7,5;58;8;0,19;0,16;0,04;0,05;20;;0;15,5;0,25;1,92;5,09;;0,5;0,015;0,01;0,1;0,19;0,43;5;0
VALUES;13623;CIQUAL;fruits;Table Ciqual 2020;Abricot, dénoyauté, sec, moelleux (réhydraté à 35045%);Abricot, dénoyauté, sec, moelleux (réhydraté à 35045%);846;200;846;200;39,3;2,31;2,31;51,1;0,4;29,9;0,35;3,5;0;17,6;1,43;0,16;0,12;0,08;0,01;0,01;0,01;0,01;0,01;0,01;0,1;0,04;0,11;0,05;0,03;0,01;0,01;0,01;;0,013;5;20;32;59;980;53;0,19;0,86;0,29;0,3;20;20;;21,7;0,25;3,45;0,8;;0,5;0,015;0,01;0,46;0,43;0,51;7,59;
VALUES;13400;CIQUAL;fruits;Table Ciqual 2020;Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;0;;0;;84,5;0,28;0,28;13,3;0,1;7,3;;1,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,2;;;;;0;;;;;;;
VALUES;13401;CIQUAL;fruits;Table Ciqual 2020;Abricot pays, pulpe, cru, prélevé à la Martinique;Abricot pays, pulpe, cru, prélevé à la Martinique;0;;0;;85,4;0,48;0,48;10,8;0,05;3,7;;3,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,095;;;;;;;;;;;;;;;;12,7;
VALUES;13402;CIQUAL;fruits;Table Ciqual 2020;Ananas, pulpe, cru , prélevé à la Martinique;Ananas, pulpe, cru , prélevé à la Martinique;0;;0;;83,4;0,56;0,56;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,3;;;;;;;
VALUES;13403;CIQUAL;fruits;Table Ciqual 2020;Caïmite, pulpe, cru, prélevé à la Martinique;Caïmite, pulpe, cru, prélevé à la Martinique;0;;0;;80,3;0,31;0,31;;2,87;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,6;;;;;;;
VALUES;13404;CIQUAL;fruits;Table Ciqual 2020;Cerise acérola, pulpe, crue, prélevée à la Martinique;Cerise acérola, pulpe, crue, prélevée à la Martinique;0;;0;;93,1;0,56;0,56;;0,097;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2850;;;;;;;
VALUES;13405;CIQUAL;fruits;Table Ciqual 2020;Chadèque, pulpe, cru, prélevé à la Martinique;Chadèque, pulpe, cru, prélevé à la Martinique;0;;0;;90,6;0,48;0,48;;0,3;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,2;;;;;;;
VALUES;13406;CIQUAL;fruits;Table Ciqual 2020;Chips d'abricot pays, pulpe, prélevé à la Martinique;Chips d'abricot pays, pulpe, prélevé à la Martinique;0;;0;;5,13;0,96;0,96;68,7;18,7;33,3;;6,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;297;;;;;0,2;;;;;;;
VALUES;13407;CIQUAL;fruits;Table Ciqual 2020;Goyave, pulpe, purée, prélevée à la Martinique;Goyave, pulpe, purée, prélevée à la Martinique;0;;0;;88,5;0,83;0,83;;0,0067;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;492;;;;;;;
VALUES;13408;CIQUAL;fruits;Table Ciqual 2020;Jus de carambole, prélevé à la Martinique, jus filtré;Jus de carambole, prélevé à la Martinique, jus filtré;0;;0;;91,6;4,52;4,52;;0,15;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;
VALUES;13409;CIQUAL;fruits;Table Ciqual 2020;Jus de carambole, prélevée à la Martinique, jus non filtré;Jus de carambole, prélevée à la Martinique, jus non filtré;0;;0;;90,4;0,063;0,063;;0,03;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,2;;;;;;;
VALUES;13410;CIQUAL;fruits;Table Ciqual 2020;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;0;;0;;92;0,48;0,48;;0,14;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,2;;;;;;;
VALUES;13411;CIQUAL;fruits;Table Ciqual 2020;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;0;;0;;91,4;0,69;0,69;;0,46;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,7;;;;;;;
