COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;40056;CIQUAL;Abats;Table Ciqual 2013;Coeur, poulet, cuit;Coeur, poulet, cuit;411;97,5;411;97,5;78,7;16,8;16,8;0,65;3,08;;;0;0;0;;0,666;0,485;1,8;;;;0;0;0,0288;0,309;0,328;0,437;0,305;0,0257;0,801;0;0;242;48;20;199;132;19;0,107;4,85;0,502;1,29;25,7;;8;;;;;;1,8;0,07;0,741;7,85;2,65;0,17;80;7,19
VALUES;40102;CIQUAL;Abats;Table Ciqual 2013;Foie, agneau, cru;Foie, agneau, cru;570;136;570;136;71;19,1;19,1;3,25;5,15;0;0;0;0;0;;1,47;0,924;1,15;0;0;0;;0;0,0253;0,474;0,808;0,533;0,28;0,0319;;0;0;430;73;19;390;290;6;0,32;6,94;9,67;4,32;30;5;2370;72;0,5;0,77;1;;19;0,39;4,64;17,6;8,2;0,391;205;68,5
VALUES;40103;CIQUAL;Abats;Table Ciqual 2013;Foie, agneau, cuit;Foie, agneau, cuit;895;213;895;213;56,4;26,4;26,4;6,49;9,09;;;0;0;0;;3,39;1,84;1,29;0;0;0;;0;0,0521;1,27;2,08;0,939;0,493;0,0562;;0;0;410;90;22,5;424;286;8,5;0,557;7,53;8,45;6,07;;5;7630;;0,51;0,38;1,6;;11,5;0,347;4,31;15,8;7,63;0,66;310;74,1
VALUES;40104;CIQUAL;Abats;Table Ciqual 2013;Foie, génisse, cru;Foie, génisse, cru;575;136;575;136;70,1;19;19;5,09;4,46;0;0;0;0;0;;1,24;0,454;1,6;0;0;0;0;0;0,0197;0,296;0,711;0,253;0,178;0,015;;0;0,106;249;81;19;360;320;6;0,37;5,99;2,5;3,59;39,4;13;6810;232;1,1;0,42;53,6;7,94;23;0,23;2,78;15,3;8,1;0,533;330;96,3
VALUES;40105;CIQUAL;Abats;Table Ciqual 2013;Foie, génisse, cuit;Foie, génisse, cuit;691;164;691;164;64,1;27,4;27,4;1,26;5,5;0;;0;0;0;;1,78;0,612;0,765;0;0;0;;0;0,0393;0,655;0,991;0,612;0,3;0,0321;;0,0214;0,0196;292;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;2,2;5;7730;182;0,855;0,38;3,9;;10,3;0,253;3,42;17,7;7,72;1,21;398;42,5
VALUES;40116;CIQUAL;Abats;Table Ciqual 2013;Foie, poulet, cuit;Foie, poulet, cuit;671;160;671;160;66,8;24,5;24,5;0,8;6,51;0;0;0;0;0;;2,06;1,42;1,99;0;0;0;;0;0,008;1,11;0,923;;0,719;0,012;;0;0;563;76;25;405;263;11;0,359;10,6;0,496;3,98;;5;3980;30;0;;0;;27,9;0,291;1,99;11;6,67;0,755;578;16,8
VALUES;40106;CIQUAL;Abats;Table Ciqual 2013;Foie, veau, cru;Foie, veau, cru;538;128;538;128;72,1;15,4;15,4;7,33;4,1;0;0;0;0;0;;1,95;1,49;0,221;0;0;0;0;0,0452;0,345;0,968;0,592;1,49;0,15;0,0598;;0,0112;0;370;64,8;22,4;229;287;5,36;0,24;3,98;15,7;8,52;37,8;2,88;2630;11;0,3;0,45;14;;21;0,22;2,52;13,6;8,4;0,455;155;54,2
VALUES;40107;CIQUAL;Abats;Table Ciqual 2013;Foie, veau, cuit;Foie, veau, cuit;598;142;598;142;67,7;25;25;1,57;3,96;0;;0;0;0;;0;0,993;1,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;89;28,3;302;450;9;0,286;5,05;20,1;13,2;22;5;10500;43,5;2,52;0,71;1,5;;13,2;0,147;1,72;18,8;1,81;1,03;404;71,4
VALUES;40109;CIQUAL;Abats;Table Ciqual 2013;Foie, volaille, cuit;Foie, volaille, cuit;653;155;653;155;67,4;24,7;24,7;0,17;6,21;;;0;0;0;;;;;;;;;;;;;;;;;;;530;268;18,1;230;;7,04;0,281;4,8;0,449;3,93;2,2;5;14500;;0,2;;;;;0,371;2,37;14,7;6,75;2,3;;19,7
VALUES;40701;CIQUAL;Abats;Table Ciqual 2013;Gésier, canard, confit, appertisé;Gésier, canard, confit, appertisé;643;152;643;152;63,9;32,4;32,4;0;2,5;0;0;0;0;0;;0,904;0,709;0,426;0,002;0,002;0,002;0,002;0,002;0,0144;0,572;0,346;0,709;0,229;0,005;0,192;;;355;766;18,3;126;214;8,5;0,1;9,4;0,1;6;37;32;2;30;0,5;0,12;;;1;0,14;0,198;3,6;0,3;0,12;20;6,8
VALUES;40202;CIQUAL;Abats;Table Ciqual 2013;Langue, boeuf, crue;Langue, boeuf, crue;774;186;774;186;67,7;15,1;15,1;0,4;13,8;0,4;0;0;0;0;;5,19;5,92;0,841;0;0;0;0;0,00892;0,345;2,8;1,52;4,51;0,355;0,0829;;0;0;84;75,3;16,7;176;250;8;0,0275;2,26;0,15;3,31;11,9;2,15;0;0;0;0,19;0;;2,93;0,114;0,318;4,2;1,33;0,173;10,7;5,1
