STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/MP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;USDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Ash_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Calcium_(mg);Iron_(mg);Magnesium_(mg);Phosphorus_(mg);Potassium_(mg);Sodium_(mg);Zinc_(mg);Copper_mg);Manganese_(mg);Selenium_(µg);Vit_C_(mg);Thiamin_(mg);Riboflavin_(mg);Niacin_(mg);Panto_Acid_mg);Vit_B6_(mg);Folate_Tot_(µg);Folic_Acid_(µg);Food_Folate_(µg);Folate_DFE_(µg);Choline_Tot_ (mg);Vit_B12_(µg);Vit_A_IU;Vit_A_RAE;Retinol_(µg);Alpha_Carot_(µg);Beta_Carot_(µg);Beta_Crypt_(µg);Lycopene_(µg);Lut+Zea_ (µg);Vit_E_(mg);Vit_D_µg;ViVit_D_IU;Vit_K_*(µg);FA_Sat_(g);FA_Mono_(g);FA_Poly_(g);Cholestrl_(mg)
VALUES;USDA01204;50,6;265;20;20;8,03;1,37;0;0;1109;0,9;38;729;125;1529;3,87;0,238;0,085;17,7;0;0,029;0,486;0,114;0,325;0,049;10;0;10;10;20,7;2,26;605;160;156;0;51;0;0;0;0,17;0,4;15;1,7;13,317;6,098;0,462;88
VALUES;USDA01205;50,06;251;0,69;13,5;0,55;35,07;1,1;33,04;6;0,59;19;28;96;80;0,25;0,142;0,142;0,7;0;0,004;0,024;0,091;0,01;0,004;1;0;1;1;0,5;0;0;0;0;0;0;0;0;1;1,58;0;0;3,3;2,635;4,002;6,269;0
VALUES;USDA01206;1,52;498;0,68;21,47;0,79;75,42;1,2;58,01;5;0,63;17;28;90;196;0,23;0,135;0,14;1,3;0;0,004;0,027;0,084;0,009;0,004;1;0;1;1;0,5;0;0;0;0;0;0;0;0;1;0,41;0;0;9,1;19,463;0,618;0,229;0
VALUES;USDA01208;50,6;274;24,7;17,6;3,6;3,5;0;0,55;756;0,52;28;496;138;876;3,23;0,026;0,01;14,5;0;0,019;0,321;0,156;0,476;0,073;10;0;10;10;12,9;1,46;532;141;137;0;45;0;0;0;0,15;0,3;13;1,5;11,3;4,89;0,51;55
VALUES;USDA01209;48,2;282;24,69;19,4;4,3;3,41;0;0,56;1146;0,13;35;583;93;776;4,3;0,021;;15,5;0;0,03;0,3;0,06;;0,084;20;0;20;20;13,5;1,66;586;155;151;0;50;0;0;0;0,17;0,4;14;1,6;11,58;5,02;0,75;62
VALUES;USDA01210;2,78;555;35,6;34,5;3,15;23,97;;2,46;171;3,23;11;451;373;576;2,76;0,149;0,056;118;;0,19;1,277;0,267;6,5;0,207;138;0;138;138;602,5;2,9;398;117;116;0;0;13;0;;2,04;7,4;296;0,7;10,305;13,745;7,555;975
VALUES;USDA01211;88,13;61;3,15;3,27;0,67;4,78;0;5,05;113;0,03;10;84;132;43;0,37;0,025;0,004;3,7;0;0,046;0,169;0,089;0,373;0,036;5;0;5;5;14,3;0,45;162;46;45;0;7;0;0;0;0,07;0,1;2;0,3;1,865;0,812;0,195;10
VALUES;USDA01212;2,47;496;26,32;26,71;6,08;38,42;0;38,42;912;0,47;85;776;1330;371;3,34;0,08;0,04;16,3;8,6;0,283;1,205;0,646;2,271;0,302;37;0;37;37;117,4;3,25;934;258;253;0;55;0;0;0;0,58;0,5;20;2,2;16,742;7,924;0,665;97
VALUES;USDA01214;74,04;135;6,81;7,56;1,55;10,04;0;10,04;261;0,19;24;203;303;106;0,77;0,016;0,006;2,3;1,9;0,047;0,316;0,194;0,638;0,05;8;0;8;8;31,3;0,16;239;65;64;0;15;0;0;0;0,16;0,1;6;0,6;4,591;2,335;0,245;29
VALUES;USDA01215;51,8;240;17,6;14,1;5,9;10,6;0;8,02;529;0,2;33;829;330;1587;2,36;0,03;;12,4;0;0,07;0,48;0,18;;0,08;18;0;18;18;36,2;1,11;945;250;243;0;80;0;0;0;0,27;5,3;212;2,6;8,85;4,13;0,41;53
VALUES;USDA01216;75,3;99;3,98;1,15;0,93;18,64;0;18,64;138;0,06;13;109;177;53;0,67;0,079;0,064;2,8;0,6;0,034;0,162;0,086;0,446;0,037;9;0;9;9;15,2;0,43;40;11;11;0;2;0;0;0;0,02;1,3;52;0,1;0,742;0,316;0,033;5
VALUES;USDA01217;74,48;102;4,37;1,08;1,02;19,05;0;19,05;152;0,07;15;119;195;58;0,74;0,08;0,065;3,1;0,7;0,037;0,178;0,095;0,489;0,04;9;0;9;9;14;0,47;36;10;10;0;2;0;0;0;0,02;1,3;52;0,1;0,697;0,297;0,031;4
VALUES;USDA01218;75,4;95;4,4;0,2;1;19;0;19;152;0,07;15;119;194;58;0,74;0,011;0,035;6;0,7;0,04;0,18;0,1;;0,04;9;0;9;9;16,4;0,47;12;2;2;0;4;0;0;8;0,06;1,3;52;1,1;0,119;0,05;0,016;2
VALUES;USDA01219;74,1;105;4,86;1,41;1,03;18,6;0;2,9;152;0,07;16;133;194;58;0,82;0,08;0,065;3,1;0,7;0,041;0,18;0,105;0,544;0,045;10;0;10;10;15,2;0,52;443;131;131;0;4;0;0;0;0,06;1,3;52;1,2;0,909;0,387;0,04;6
VALUES;USDA01220;79;85;4,93;1,25;1,02;13,8;0;13,8;171;0,07;16;135;219;66;0,83;0,013;0,004;4,9;0,8;0,042;0,201;0,107;0,552;0,045;11;0;11;11;15,2;0,53;43;12;12;0;2;0;0;0;0,02;1,2;47;0,1;0,806;0,343;0,036;5
VALUES;USDA01221;87,43;43;3,86;0,18;1;7,5;0;7,5;143;0,12;13;109;177;59;0,67;0,079;;3,1;1,1;0,034;0,162;0,086;;0,037;8;0;8;8;15,2;0,43;6;2;2;0;0;0;0;0;0;1,2;47;0;0,116;0,049;0,005;2
VALUES;USDA01222;71,57;112;3,53;0;1,37;23,53;1,2;14,97;88;0,42;40;166;339;135;1,13;0,209;;7;0;0,047;0,215;0,223;;0,047;12;0;12;12;15,2;0,5;0;0;0;0;0;0;0;0;0;1,2;47;0;0;0;0;1
VALUES;USDA01223;15;411;45,71;17,14;3,65;18,5;7,1;5,71;500;8,57;200;643;1129;329;7,14;1;;33,8;30;0,714;0,857;10;5,714;1;200;200;0;340;81,6;3;2500;750;750;0;0;0;0;0;7,07;5;200;0,5;1,553;12,105;1,77;21
VALUES;USDA01224;12;396;50;12;4;22;2;4;1200;12;280;700;840;250;10;1,4;;33,8;42;1;1,2;14;8;1,4;280;280;0;476;81,6;4,2;3500;1050;1050;0;0;0;0;0;9,45;7;280;0,5;1,087;8,474;1,239;10
VALUES;USDA01225;28,71;315;6,84;7,35;1,74;55,35;0;49,74;251;0,17;22;193;350;129;0,79;0,004;0,002;2,7;2,6;0,016;0,405;0,21;0,835;0,016;11;0;11;11;89,1;0,31;267;74;73;0;14;0;0;0;0,2;0,2;6;1,3;4,534;2,143;0,375;29
VALUES;USDA01226;87;48;10;0;1,3;2;0;2;73;1,98;15;72;213;199;0,98;0,022;0,006;41,3;0,5;0,12;0,386;0,14;1,66;0,133;16;0;16;16;2,5;0,34;225;11;0;0;135;0;0;0;1,59;1,6;66;0,2;0;0;0;0
VALUES;USDA01227;42,17;325;24,51;24,35;6,93;2,04;;0,55;661;0,18;27;475;116;1808;3,28;0,027;0,018;22,4;;0,038;0,23;0,083;0,398;0,091;;;;;18,4;1,7;800;226;223;0;33;2;0;4;0,49;1,8;73;1,5;13,718;6,418;1,244;78
VALUES;USDA01228;51,42;299;18,09;23,82;3,68;2,98;0;2,32;566;0,2;24;385;129;751;2,58;0,033;0,014;19,3;0;0,042;0,173;0,027;0,358;0,076;7;0;7;7;12,5;1,68;806;224;221;0;41;2;0;3;0,37;2,7;110;1;12,94;5,966;1,106;69
VALUES;USDA01229;48,7;310;20,38;24,31;4,07;2,53;;1,76;690;0,18;29;467;126;704;3,06;0,025;0,021;13,8;;0,048;0,23;0,035;0,397;0,086;;;;;15,4;1,75;555;157;155;0;23;2;0;3;0,47;0,7;27;1,6;13,661;6,459;1,149;70
VALUES;USDA01230;87,91;62;3,21;3,31;0,68;4,88;0;4,88;115;0,03;10;85;135;105;0,38;0,025;0,004;3,7;0;0,047;0,172;0,09;0,38;0,036;5;0;5;5;14,6;0,46;165;47;46;0;7;0;0;0;0,07;1,3;52;0,3;1,899;0,827;0,198;11
VALUES;USDA01231;79;86;4,93;1,25;1,02;13,8;0;5,43;171;0,07;16;135;219;66;0,83;0,013;0,004;4,9;0,8;0,042;0,201;0,107;0,552;0,045;11;0;11;11;15,2;0,53;43;12;12;0;2;0;0;0;0,02;0;1;0,1;0,752;0,313;0,035;5
VALUES;USDA01235;73,5;104;4,4;0,8;1,6;19,7;2;12,61;159;0,04;40;129;339;81;0,49;0,203;;2,8;0,7;0,04;0,18;0,2;;0,04;12;0;12;12;3,1;0,49;17;2;1;0;8;0;0;0;0,08;0;0;0,3;0,488;0,205;0,03;4
VALUES;USDA01236;59,8;222;4,1;13;0,9;22,2;0,7;21,16;131;0,21;12;116;177;61;0,52;0,03;0,005;3;0,8;0,049;0,182;0,095;0,506;0,048;9;0;9;9;26;0,5;589;162;159;5;30;5;0;151;0,61;0,7;29;0,9;7,46;3,49;0,46;91
VALUES;USDA01237;46,3;331;4,1;24,1;1;24,5;0,8;18,3;119;0,29;28;173;305;68;0,82;0,076;0,078;2,4;0;0,062;0,261;0,175;0,479;0,043;7;0;7;7;29,7;0,49;123;19;15;0;44;0;0;0;0,42;0,2;7;1,3;13,202;6,387;3,257;28
VALUES;USDA01238;48,9;237;4,29;8,57;1,1;37,14;0;18,57;86;0,26;29;72;115;129;0,6;0,254;0,381;3,1;0;0,111;0,146;1,566;0,209;0,028;34;27;6;53;8;0,05;286;86;86;0;0;0;0;6;0,4;0;0;1,3;2,317;2,661;2,272;21
VALUES;USDA01239;48,7;240;3,7;7,4;0,55;39,6;1,2;21,3;73;1,1;16;54;68;162;0,32;0,106;0,225;3,1;0;0,03;0,03;0,237;0,115;0,028;5;0;5;5;8;0,01;122;37;37;0;0;0;0;6;0,4;0;0;1,3;1,663;4,15;0,847;6
VALUES;USDA01240;37,43;354;5,21;21,88;1,11;34,38;1;25;63;0;29;108;222;94;0,86;0,128;0,194;2,6;0;0,108;0,252;0,829;0,438;0,046;24;16;8;35;23,8;0,36;104;32;31;0;11;0;0;4;0,18;0,1;3;1,1;11,458;7,34;1,657;21
VALUES;USDA01241;52,63;186;4,29;3,04;0,39;39,64;0;17,86;30;0,09;10;26;41;146;0,21;0,09;;1,1;0;0,039;0,052;0,555;;0,01;12;10;2;19;2,8;0,02;321;96;96;0;0;0;0;2;0,14;0;0;0,5;0,821;0,942;0,805;7
VALUES;USDA01242;48,13;200;5,71;2,86;0,39;42,86;7,1;6,58;86;0;10;26;41;164;0,21;0,09;;1,1;0;0,039;0,052;0,555;;0,01;12;10;2;19;2,8;0,02;429;129;129;0;0;0;0;2;0,14;0;0;0,5;0,821;0,942;0,805;21
VALUES;USDA01243;65,52;129;4,41;0;1,2;27,94;7,4;8,82;147;0;9;75;196;110;0,31;0,03;;1,9;0;0,029;0,122;0,074;;0,029;4;0;4;4;23;0,52;461;133;132;0;12;0;0;0;0;0;0;0;0;0;0;0
VALUES;USDA01244;61,43;147;4,41;1,47;0,69;33,09;6,6;22,06;184;0,53;20;83;316;92;0,43;0,103;;2,2;0,9;0,023;0,129;0,126;;0,023;4;0;4;4;19,6;0,14;424;71;60;0;135;0;0;1;0,2;0,1;5;0,6;0,81;0,462;0,052;7
VALUES;USDA01250;79,74;88;4,4;3,08;0,9;11,88;2,2;2,64;110;1,98;44;110;176;92;1,65;0,22;0,097;7,7;26,4;0,165;0,187;2,201;1,1;0,22;44;44;0;75;60,5;0,66;550;165;165;0;0;0;0;0;1,46;1,1;44;8,8;0,232;2,318;0,395;2
VALUES;USDA01251;42,48;358;23,54;28,51;3,72;1,75;0;1,23;659;0,59;25;438;85;696;3,01;0,025;0,022;15;0;0,023;0,318;0,114;0,249;0,061;13;0;13;13;15,7;1,23;659;174;170;0;56;0;0;0;0,25;0,5;21;2,5;17,027;7,871;0,864;95
