PATH;/System/Lists/bcpg:entityLists/NutTypes
TYPE;bcpg:listValue
COLUMNS;cm:name
VALUES;Vitamins
VALUES;Minerals
VALUES;Proximates
VALUES;Lipids
VALUES;Other
