"PATH";"/System/Characts/bcpg:entityLists/Organos";
"TYPE";"bcpg:organo";
"COLUMNS";"cm:name";"cm:description"
"VALUES";"Color";
"VALUES";"Texture";
"VALUES";"Flavor";
"VALUES";"Taste";
"VALUES";"Appearance";
"VALUES";"Smell";
"VALUES";"Touch";
