"Code AGB";"Code CIQUAL";"Groupe d'aliment";"Sous-groupe d'aliment";"Nom du Produit en Français";"LCI Name";"code saison";"code avion";"Livraison";"Matériau d'emballage";"Préparation";"DQR";"Score unique EF";"Changement climatique";"Appauvrissement de la couche d'ozone";"Rayonnements ionisants";"Formation photochimique d'ozone";"Particules fines";"Effets toxicologiques sur la santé humaine : substances non-cancérogènes";"Effets toxicologiques sur la santé humaine : substances cancérogènes";"Acidification terrestre et eaux douces";"Eutrophisation eaux douces";"Eutrophisation marine";"Eutrophisation terrestre";"Écotoxicité pour écosystèmes aquatiques d'eau douce";"Utilisation du sol";"Épuisement des ressources eau";"Épuisement des ressources énergétiques";"Épuisement des ressources minéraux";"Changement climatique - émissions biogéniques";"Changement climatique - émissions fossiles";"Changement climatique - émissions liées au changement d'affectation des sols";"CLIMATE_CHANGE";"OZONE_DEPLETION";"IONIZING_RADIATION";"PHOTOCHEMICAL_OZONE_FORMATION";"PARTICULATE_MATTER";"HUMAN_TOXICITY_NON_CANCER";"HUMAN_TOXICITY_CANCER";"ACIDIFICATION";"EUTROPHICATION_FRESHWATER";"EUTROPHICATION_MARINE";"EUTROPHICATION_TERRESTRIAL";"ECOTOXICITY_FRESHWATER";"LAND_USE";"WATER_USE";"RESOURCE_USE_FOSSILS";"RESOURCE_USE_MINERALS_METALS";"CLIMATE_CHANGE_BIOGENIC";"CLIMATE_CHANGE_FOSSIL";"CLIMATE_CHANGE_LAND_USE"
"13014_2";13014;"fruits, légumes, légumineuses et oléagineux";"fruits";"Fraise, de saison, crue";"Strawberry, in-season, raw";1;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";2,21;1,10E-01;5,11E-01;2,33E-08;8,86E-02;2,33E-03;5,50E-08;1,71E-08;5,28E-10;6,55E-03;9,96E-05;4,89E-03;2,63E-02;1,20E+01;6,36E+01;4,68E+00;7,74E+00;3,11E-06;1,45E-02;4,96E-01;3,18E-04;5,11E-01;2,33E-08;8,86E-02;2,33E-03;5,50E-08;1,71E-08;5,28E-10;6,55E-03;9,96E-05;4,89E-03;2,63E-02;1,20E+01;6,36E+01;4,68E+00;7,74E+00;3,11E-06;1,45E-02;4,96E-01;3,18E-04
"13014_3";13014;"fruits, légumes, légumineuses et oléagineux";"fruits";"Fraise, hors-saison, crue";"Strawberry, off-season, raw";0;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";2,23;1,76E-01;5,92E-01;2,51E-08;9,22E-02;2,80E-03;5,89E-08;1,80E-08;5,04E-10;7,04E-03;1,04E-04;5,00E-03;2,80E-02;1,26E+01;1,14E+02;1,20E+01;8,93E+00;3,59E-06;1,46E-02;5,77E-01;3,47E-04;5,92E-01;2,51E-08;9,22E-02;2,80E-03;5,89E-08;1,80E-08;5,04E-10;7,04E-03;1,04E-04;5,00E-03;2,80E-02;1,26E+01;1,14E+02;1,20E+01;8,93E+00;3,59E-06;1,46E-02;5,77E-01;3,47E-04
13015;13015;"fruits, légumes, légumineuses et oléagineux";"fruits";"Framboise, crue";"Raspberry, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";4,05;3,15E-01;1,55E+00;4,20E-08;4,34E-02;1,06E-02;3,03E-07;6,53E-08;2,93E-09;4,20E-02;3,95E-04;1,52E-02;1,82E-01;8,10E+01;1,18E+02;2,35E+00;1,52E+01;8,44E-06;2,26E-02;1,52E+00;1,84E-03;1,55E+00;4,20E-08;4,34E-02;1,06E-02;3,03E-07;6,53E-08;2,93E-09;4,20E-02;3,95E-04;1,52E-02;1,82E-01;8,10E+01;1,18E+02;2,35E+00;1,52E+01;8,44E-06;2,26E-02;1,52E+00;1,84E-03
13136;13136;"fruits, légumes, légumineuses et oléagineux";"fruits";"Framboise, surgelée, crue";"Raspberry, frozen, raw";2;0;"Congelé";"PACK AGB";"Pas de préparation";3,03;3,70E-01;1,82E+00;5,00E-08;7,86E-01;1,13E-02;3,15E-07;7,20E-08;3,11E-09;4,31E-02;4,69E-04;1,55E-02;1,83E-01;8,25E+01;1,20E+02;2,45E+00;3,32E+01;1,43E-05;2,33E-02;1,79E+00;2,56E-03;1,82E+00;5,00E-08;7,86E-01;1,13E-02;3,15E-07;7,20E-08;3,11E-09;4,31E-02;4,69E-04;1,55E-02;1,83E-01;8,25E+01;1,20E+02;2,45E+00;3,32E+01;1,43E-05;2,33E-02;1,79E+00;2,56E-03
13016;13016;"fruits, légumes, légumineuses et oléagineux";"fruits";"Fruit de la passion ou maracudja, pulpe et pépins, cru";"Passion fruit, pulp and pips, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,59;1,12E-01;9,38E-01;2,22E-08;1,08E-01;3,09E-03;4,87E-08;5,41E-08;5,14E-10;4,45E-03;2,66E-04;2,85E-03;1,21E-02;9,72E+00;2,43E+01;2,98E+00;1,12E+01;5,92E-06;7,72E-02;8,59E-01;1,13E-03;9,38E-01;2,22E-08;1,08E-01;3,09E-03;4,87E-08;5,41E-08;5,14E-10;4,45E-03;2,66E-04;2,85E-03;1,21E-02;9,72E+00;2,43E+01;2,98E+00;1,12E+01;5,92E-06;7,72E-02;8,59E-01;1,13E-03
13997;13997;"fruits, légumes, légumineuses et oléagineux";"fruits";"Fruits rouges, crus (framboises, fraises, groseilles, cassis)";"Red berries (raspberries, strawberries, red currants, black currants) , raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";4,39;3,15E-01;1,55E+00;4,20E-08;4,34E-02;1,06E-02;3,03E-07;6,53E-08;2,93E-09;4,20E-02;3,95E-04;1,52E-02;1,82E-01;8,10E+01;1,18E+02;2,35E+00;1,52E+01;8,44E-06;2,26E-02;1,52E+00;1,84E-03;1,55E+00;4,20E-08;4,34E-02;1,06E-02;3,03E-07;6,53E-08;2,93E-09;4,20E-02;3,95E-04;1,52E-02;1,82E-01;8,10E+01;1,18E+02;2,35E+00;1,52E+01;8,44E-06;2,26E-02;1,52E+00;1,84E-03
13083;13083;"fruits, légumes, légumineuses et oléagineux";"fruits";"Goyave, pulpe, crue";"Guava, pulp, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,44;1,40E-01;1,19E+00;2,69E-08;1,15E-01;6,23E-03;6,19E-08;5,59E-08;6,33E-10;8,29E-03;2,82E-04;3,83E-03;2,28E-02;1,13E+01;2,56E+01;2,99E+00;1,46E+01;6,47E-06;7,73E-02;1,11E+00;1,30E-03;1,19E+00;2,69E-08;1,15E-01;6,23E-03;6,19E-08;5,59E-08;6,33E-10;8,29E-03;2,82E-04;3,83E-03;2,28E-02;1,13E+01;2,56E+01;2,99E+00;1,46E+01;6,47E-06;7,73E-02;1,11E+00;1,30E-03
13018;13018;"fruits, légumes, légumineuses et oléagineux";"fruits";"Grenade, pulpe et pépins, crue";"Pomegranate, pulp and pips, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,05;4,92E-02;4,99E-01;2,84E-08;3,52E-02;1,88E-03;2,70E-08;9,48E-09;4,41E-10;1,96E-03;5,72E-05;8,81E-04;7,72E-03;1,22E+01;1,86E+01;6,14E-01;5,59E+00;2,43E-06;8,24E-02;4,16E-01;2,37E-04;4,99E-01;2,84E-08;3,52E-02;1,88E-03;2,70E-08;9,48E-09;4,41E-10;1,96E-03;5,72E-05;8,81E-04;7,72E-03;1,22E+01;1,86E+01;6,14E-01;5,59E+00;2,43E-06;8,24E-02;4,16E-01;2,37E-04
13110;13110;"fruits, légumes, légumineuses et oléagineux";"fruits";"Griotte, crue";"Morello cherry, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";2,61;2,72E-01;1,04E+00;3,23E-08;8,73E-02;3,88E-03;4,86E-08;3,73E-08;1,50E-09;5,18E-03;3,75E-04;1,74E-03;1,81E-02;9,55E+01;1,01E+03;6,51E+00;1,28E+01;7,39E-06;7,70E-02;9,63E-01;6,64E-04;1,04E+00;3,23E-08;8,73E-02;3,88E-03;4,86E-08;3,73E-08;1,50E-09;5,18E-03;3,75E-04;1,74E-03;1,81E-02;9,55E+01;1,01E+03;6,51E+00;1,28E+01;7,39E-06;7,70E-02;9,63E-01;6,64E-04
13020;13020;"fruits, légumes, légumineuses et oléagineux";"fruits";"Groseille à maquereau, crue";"Gooseberry, raw";2;0;"Ambiant (moyen)";"PACK AGB";"Pas de préparation";3,84;2,62E-01;1,40E+00;7,93E-07;1,97E-01;5,43E-03;1,33E-07;4,38E-08;2,59E-09;7,75E-03;4,53E-04;3,34E-03;2,59E-02;2,47E+02;2,19E+01;3,58E+00;2,34E+01;1,26E-05;3,52E-02;1,36E+00;2,82E-03;1,40E+00;7,93E-07;1,97E-01;5,43E-03;1,33E-07;4,38E-08;2,59E-09;7,75E-03;4,53E-04;3,34E-03;2,59E-02;2,47E+02;2,19E+01;3,58E+00;2,34E+01;1,26E-05;3,52E-02;1,36E+00;2,82E-03
