Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;Saisonnalité;Transport par avion (1 : par avion);Livraison;Matériau d'emballage;Préparation;"DQR - Note de qualité de la donnée (1 excellente ; 5 très faible)";Score unique EF (mPt/kg de produit);Changement climatique (kg CO2 eq/kg de produit);Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit);Rayonnements ionisants (kBq U-235 eq/kg de produit);Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit);Particules (E-06 disease inc./kg de produit);Acidification terrestre et eaux douces (mol H+ eq/kg de produit);Eutrophisation terreste (mol N eq/kg de produit);Eutrophisation eaux douces (E-03 kg P eq/kg de produit);Eutrophisation marine (E-03 kg N eq/kg de produit);Utilisation du sol (Pt/kg de produit);Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit);Épuisement des ressources eau (m3 depriv./kg de produit);Épuisement des ressources énergétiques (MJ/kg de produit);Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit);CLIMATE_CHANGE;PARTICULATE_MATTER;WATER_USE;LAND_USE;RESOURCE_USE_MINERALS_METALS;OZONE_DEPLETION;ACIDIFICATION;IONIZING_RADIATION;PHOTOCHEMICAL_OZONE_FORMATION;EUTROPHICATION_TERRESTRIAL;EUTROPHICATION_MARINE;EUTROPHICATION_FRESHWATER;ECOTOXICITY_FRESHWATER;HUMAN_TOXICITY_CANCER;HUMAN_TOXICITY_NON_CANCER;RESOURCE_USE_FOSSILS
21516;21516;viandes, œufs, poissons;viandes crues;Agneau, côte filet, crue;Lamb, chop fillet, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21509;21509;viandes, œufs, poissons;viandes cuites;Agneau, côte filet, grillée/poêlée;Lamb, chop fillet, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21517;21517;viandes, œufs, poissons;viandes crues;Agneau, côte première, crue;Lamb, rib chop, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21512;21512;viandes, œufs, poissons;viandes cuites;Agneau, côte première, grillée/poêlée;Lamb, rib chop, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21500;21500;viandes, œufs, poissons;viandes crues;Agneau, côtelette, crue;Lamb, cutlet, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;3.8308427;39.58311;0.78313931;1.1063072;54.899772;4.0324386;0.59861747;2.6576182;2.0023375;125.64685;3505.0337;301.59995;9.7595476;73.579096;13.996584;39.58311;0.0000040324386;9.7595476;3505.0337;0.000013996584;0.00000078313931;0.59861747;1.1063072;0.054899772;2.6576182;0.12564685;0.0020023375;301.59995;;;73.579096
21501;21501;viandes, œufs, poissons;viandes cuites;Agneau, côtelette, grillée;Lamb cutlet, grilled;mix de consommation FR;0;Glacé;PS;Poêle;2.65;4.8507386;50.102618;1.0062288;1.4944964;69.532807;5.0964984;0.75659179;3.3585121;2.5442106;159.04293;4430.6901;382.8752;12.35179;96.001708;17.883889;50.102618;0.0000050964984;12.35179;4430.6901;0.000017883889;0.0000010062288;0.75659179;1.4944964;0.069532807;3.3585121;0.15904293;0.0025442106;382.8752;;;96.001708
21504;21504;viandes, œufs, poissons;viandes crues;Agneau, épaule, crue;Lamb, shoulder, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;3.8308427;39.58311;0.78313931;1.1063072;54.899772;4.0324386;0.59861747;2.6576182;2.0023375;125.64685;3505.0337;301.59995;9.7595476;73.579096;13.996584;39.58311;0.0000040324386;9.7595476;3505.0337;0.000013996584;0.00000078313931;0.59861747;1.1063072;0.054899772;2.6576182;0.12564685;0.0020023375;301.59995;;;73.579096
21505;21505;viandes, œufs, poissons;viandes crues;Agneau, épaule, maigre, crue;Lamb, shoulder, lean, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;3.8308427;39.58311;0.78313931;1.1063072;54.899772;4.0324386;0.59861747;2.6576182;2.0023375;125.64685;3505.0337;301.59995;9.7595476;73.579096;13.996584;39.58311;0.0000040324386;9.7595476;3505.0337;0.000013996584;0.00000078313931;0.59861747;1.1063072;0.054899772;2.6576182;0.12564685;0.0020023375;301.59995;;;73.579096
21507;21507;viandes, œufs, poissons;viandes cuites;Agneau, épaule, maigre, rôtie/cuite au four;Lamb, shoulder, lean, roasted/baked;mix de consommation FR;0;Glacé;PS;Four;2.65;4.870604;50.065402;1.0425672;2.0132406;69.534204;5.0981527;0.75665542;3.358136;2.5698135;158.82463;4428.0631;384.22624;12.45439;105.93557;18.231004;50.065402;0.0000050981527;12.45439;4428.0631;0.000018231004;0.0000010425672;0.75665542;2.0132406;0.069534204;3.358136;0.15882463;0.0025698135;384.22624;;;105.93557
21506;21506;viandes, œufs, poissons;viandes cuites;Agneau, épaule, rôtie/cuite au four;Lamb, shoulder, roasted/baked;mix de consommation FR;0;Glacé;PS;Four;2.65;4.870604;50.065402;1.0425672;2.0132406;69.534204;5.0981527;0.75665542;3.358136;2.5698135;158.82463;4428.0631;384.22624;12.45439;105.93557;18.231004;50.065402;0.0000050981527;12.45439;4428.0631;0.000018231004;0.0000010425672;0.75665542;2.0132406;0.069534204;3.358136;0.15882463;0.0025698135;384.22624;;;105.93557
21519;21519;viandes, œufs, poissons;viandes cuites;Agneau, gigot, braisé;Lamb, leg, braised;mix de consommation FR;0;Glacé;PS;Four;2.65;6.0857682;62.692087;1.2907192;2.3628782;86.974962;6.372366;0.94577275;4.1977209;3.2196681;198.62323;5535.0597;481.59569;15.542101;129.23893;22.65941;62.692087;0.000006372366;15.542101;5535.0597;0.00002265941;0.0000012907192;0.94577275;2.3628782;0.086974962;4.1977209;0.19862323;0.0032196681;481.59569;;;129.23893
21502;21502;viandes, œufs, poissons;viandes crues;Agneau, gigot, cru;Lamb, leg, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21518;21518;viandes, œufs, poissons;viandes cuites;Agneau, gigot, grillé/poêlé;Lamb, leg, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21503;21503;viandes, œufs, poissons;viandes cuites;Agneau, gigot, rôti/cuit au four;Lamb, leg, roasted/baked;mix de consommation FR;0;Glacé;PS;Four;2.65;6.0857682;62.692087;1.2907192;2.3628782;86.974962;6.372366;0.94577275;4.1977209;3.2196681;198.62323;5535.0597;481.59569;15.542101;129.23893;22.65941;62.692087;0.000006372366;15.542101;5535.0597;0.00002265941;0.0000012907192;0.94577275;2.3628782;0.086974962;4.1977209;0.19862323;0.0032196681;481.59569;;;129.23893
21515;21515;viandes, œufs, poissons;viandes crues;Agneau, selle, crue;Lamb, saddle, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21520;21520;viandes, œufs, poissons;viandes cuites;Agneau, selle, partie maigre, grillée/poêlée;Lamb, saddle, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21513;21513;viandes, œufs, poissons;viandes cuites;Agneau, selle, partie maigre, rôtie/cuite au four;Lamb, saddle, lean, roasted/baked;mix de consommation FR;0;Glacé;PS;Four;2.65;6.0857682;62.692087;1.2907192;2.3628782;86.974962;6.372366;0.94577275;4.1977209;3.2196681;198.62323;5535.0597;481.59569;15.542101;129.23893;22.65941;62.692087;0.000006372366;15.542101;5535.0597;0.00002265941;0.0000012907192;0.94577275;2.3628782;0.086974962;4.1977209;0.19862323;0.0032196681;481.59569;;;129.23893
11023;11023;aides culinaires et ingrédients divers;herbes;Ail séché, poudre;Garlic, powder, dried;mix de consommation FR;0;Ambiant (long);Verre;Pas de préparation;4.11;0.13013797;0.82099799;0.17667332;0.64093426;3.0628449;0.081236677;0.00642255;0.012380615;0.18531935;2.4514629;21.181705;23.335265;2.8652756;23.094722;2.8620327;0.82099799;0.000000081236677;2.8652756;21.181705;0.0000028620327;0.00000017667332;0.00642255;0.64093426;0.0030628449;0.012380615;0.0024514629;0.00018531935;23.335265;;;23.094722
11000;11000;aides culinaires et ingrédients divers;herbes;Ail, cru;Garlic, fresh;mix de consommation FR;0;Ambiant (long);Pas d'emballage;Pas de préparation;3.54;0.072151984;0.37474333;0.074828795;0.27540408;1.0487543;0.018196045;0.0016809316;0.0047622857;0.088976979;2.1978378;18.73958;17.000123;3.1914283;8.9987513;1.4587254;0.37474333;0.000000018196045;3.1914283;18.73958;0.0000014587254;0.000000074828795;0.0016809316;0.27540408;0.0010487543;0.0047622857;0.0021978378;0.000088976979;17.000123;;;8.9987513
1014;1014;boissons;boisson alcoolisées;Alcool pur;Pure alcohol;mix de consommation FR;0;Ambiant (moyenne);Verre;Réfrigéré chez le consommateur;3.29;0.12296672;1.1563936;0.18296104;0.31724061;8.3984693;0.14162457;0.0072767646;0.014839737;0.16915911;1.2142155;21.322182;17.408287;0.26953301;19.965698;2.1994413;1.1563936;0.00000014162457;0.26953301;21.322182;0.0000021994413;0.00000018296104;0.0072767646;0.31724061;0.0083984693;0.014839737;0.0012142155;0.00016915911;17.408287;;;19.965698
4041;4041;entrées et plats composés;plats composés;Aligot (purée de pomme de terre à la tomme fraîche);Mashed potatoes w fresh tome cheese;mix de consommation FR;0;Glacé;PP;Micro onde ;2.26;0.37084644;4.0543082;0.25502566;0.98106737;7.3631983;0.2450536;0.033249943;0.13718786;0.539998;11.949284;155.64463;51.820777;2.4315783;35.988337;5.1910137;4.0543082;0.0000002450536;2.4315783;155.64463;0.0000051910137;0.00000025502566;0.033249943;0.98106737;0.0073631983;0.13718786;0.011949284;0.000539998;51.820777;;;35.988337
15000;15000;fruits, légumes, légumineuses et oléagineux;fruits à coque et graines oléagineuses;Amande (avec peau);Almond, (with peel);mix de consommation FR;0;Ambiant (long);LPDE;Pas de préparation;3.19;2.0853347;5.7604477;0.46496768;0.69323859;28.947007;0.58920758;0.076412983;0.27758114;2.4495156;28.147858;377.30239;293.10696;158.39707;78.338963;48.058422;5.7604477;0.00000058920758;158.39707;377.30239;0.000048058422;0.00000046496768;0.076412983;0.69323859;0.028947007;0.27758114;0.028147858;0.0024495156;293.10696;;;78.338963
15042;15042;fruits, légumes, légumineuses et oléagineux;fruits à coque et graines oléagineuses;Amande, grillée, salée;Almond, grilled, salted;mix de consommation FR;0;Ambiant (long);LPDE;Pas de préparation;3.68;2.0853347;5.7604477;0.46496768;0.69323859;28.947007;0.58920758;0.076412983;0.27758114;2.4495156;28.147858;377.30239;293.10696;158.39707;78.338963;48.058422;5.7604477;0.00000058920758;158.39707;377.30239;0.000048058422;0.00000046496768;0.076412983;0.69323859;0.028947007;0.27758114;0.028147858;0.0024495156;293.10696;;;78.338963
15041;15041;fruits, légumes, légumineuses et oléagineux;fruits à coque et graines oléagineuses;Amande, mondée, émondée ou blanchie;Almond, peeled, unpeeled or blanched;mix de consommation FR;0;Ambiant (long);LPDE;Pas de préparation;3.68;2.0853347;5.7604477;0.46496768;0.69323859;28.947007;0.58920758;0.076412983;0.27758114;2.4495156;28.147858;377.30239;293.10696;158.39707;78.338963;48.058422;5.7604477;0.00000058920758;158.39707;377.30239;0.000048058422;0.00000046496768;0.076412983;0.69323859;0.028947007;0.27758114;0.028147858;0.0024495156;293.10696;;;78.338963
9345;9345;produits céréaliers;pâtes, riz et céréales;Amarante, crue;Amaranth, raw;mix de consommation FR;0;Ambiant (long);LPDE;Pas de préparation ;3.6;0.13132115;0.87194232;0.084470359;0.27049852;3.0915618;0.069150423;0.0099156966;0.040761081;0.31048426;8.0635277;105.71683;15.861382;2.0953092;14.055734;1.3340281;0.87194232;0.000000069150423;2.0953092;105.71683;0.0000013340281;0.000000084470359;0.0099156966;0.27049852;0.0030915618;0.040761081;0.0080635277;0.00031048426;15.861382;;;14.055734
9510;9510;produits céréaliers;farines et pâtes à tarte;Amidon de maïs ou fécule de maïs;Maize/corn starch;mix de consommation FR;0;Ambiant (moyenne);Carton;Pas de préparation;3.16;0.17236489;1.2241674;0.12969432;0.23794493;3.9848846;0.10159924;0.012895275;0.048825218;0.46776591;13.428215;99.866024;32.661476;0.34070985;16.152265;7.353695;1.2241674;0.00000010159924;0.34070985;99.866024;0.000007353695;0.00000012969432;0.012895275;0.23794493;0.0039848846;0.048825218;0.013428215;0.00046776591;32.661476;;;16.152265
13716;13716;fruits, légumes, légumineuses et oléagineux;fruits;Ananas au sirop et jus d'ananas, appertisé, égoutté;Pineapple, in pineapple juice and syrup, canned, drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.93;0.2354557;1.5246819;0.29024877;1.817265;6.5954484;0.086436253;0.011210064;0.029467622;0.43491229;4.1010044;32.263424;72.489573;1.4991348;50.047806;3.2878997;1.5246819;0.000000086436253;1.4991348;32.263424;0.0000032878997;0.00000029024877;0.011210064;1.817265;0.0065954484;0.029467622;0.0041010044;0.00043491229;72.489573;;;50.047806
13717;13717;fruits, légumes, légumineuses et oléagineux;fruits;Ananas au sirop et jus d'ananas, appertisé, non égoutté;Pineapple, in pineapple juice and syrup, canned, not drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation;2.93;0.14057911;0.801656;0.18013246;1.1336757;3.9933718;0.053088715;0.0069171936;0.018064736;0.25056458;2.4190859;20.06445;42.709592;0.92890319;31.151204;2.0420234;0.801656;0.000000053088715;0.92890319;20.06445;0.0000020420234;0.00000018013246;0.0069171936;1.1336757;0.0039933718;0.018064736;0.0024190859;0.00025056458;42.709592;;;31.151204
13718;13718;fruits, légumes, légumineuses et oléagineux;fruits;Ananas au sirop léger, appertisé, égoutté;Pineapple, in light syrup, canned, drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.93;0.2354557;1.5246819;0.29024877;1.817265;6.5954484;0.086436253;0.011210064;0.029467622;0.43491229;4.1010044;32.263424;72.489573;1.4991348;50.047806;3.2878997;1.5246819;0.000000086436253;1.4991348;32.263424;0.0000032878997;0.00000029024877;0.011210064;1.817265;0.0065954484;0.029467622;0.0041010044;0.00043491229;72.489573;;;50.047806
13719;13719;fruits, légumes, légumineuses et oléagineux;fruits;Ananas au sirop léger, appertisé, non égoutté;Pineapple, in light syrup, canned, not drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.93;0.14057911;0.801656;0.18013246;1.1336757;3.9933718;0.053088715;0.0069171936;0.018064736;0.25056458;2.4190859;20.06445;42.709592;0.92890319;31.151204;2.0420234;0.801656;0.000000053088715;0.92890319;20.06445;0.0000020420234;0.00000018013246;0.0069171936;1.1336757;0.0039933718;0.018064736;0.0024190859;0.00025056458;42.709592;;;31.151204
13002;13002;fruits, légumes, légumineuses et oléagineux;fruits;Ananas, pulpe, cru;Pineapple, pulp, raw;mix de consommation FR;0;Ambiant (moyenne);Pas d'emballage;Pas de préparation;2.68;0.12925402;1.1459791;0.14950567;0.40185536;4.2844778;0.041622283;0.0072698175;0.017613054;0.20546953;3.5427227;30.541488;53.241555;1.1152376;16.915516;2.6941707;1.1459791;0.000000041622283;1.1152376;30.541488;0.0000026941707;0.00000014950567;0.0072698175;0.40185536;0.0042844778;0.017613054;0.0035427227;0.00020546953;53.241555;;;16.915516
26177;26177;viandes, œufs, poissons;produits à base de poissons et produits de la mer;Anchois au sel (anchoité, semi-conserve);Anchovy, in salt (semi-preserved);mix de consommation FR;0;Glacé;PS;Pas de préparation;3.78;0.29010266;2.1585571;0.44861245;0.33484582;26.524632;0.263656;0.037366296;0.099394953;0.2203364;9.1151227;8.7799212;20.359454;0.37206284;34.364577;15.773261;2.1585571;0.000000263656;0.37206284;8.7799212;0.000015773261;0.00000044861245;0.037366296;0.33484582;0.026524632;0.099394953;0.0091151227;0.0002203364;20.359454;;;34.364577
26079;26079;viandes, œufs, poissons;poissons crus;Anchois commun, cru;Common anchovy, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;3.1;0.29010266;2.1585571;0.44861245;0.33484582;26.524632;0.263656;0.037366296;0.099394953;0.2203364;9.1151227;8.7799212;20.359454;0.37206284;34.364577;15.773261;2.1585571;0.000000263656;0.37206284;8.7799212;0.000015773261;0.00000044861245;0.037366296;0.33484582;0.026524632;0.099394953;0.0091151227;0.0002203364;20.359454;;;34.364577
26187;26187;viandes, œufs, poissons;produits à base de poissons et produits de la mer;Anchois commun, mariné;Common anchovy, marinated;mix de consommation FR;0;Glacé;PS;Pas de préparation;3.1;0.2656893;2.0244855;0.34748358;0.76600161;15.485922;0.17580763;0.02460719;0.071384612;0.36696024;10.573992;58.077891;37.944052;0.56454745;37.267091;12.326242;2.0244855;0.00000017580763;0.56454745;58.077891;0.000012326242;0.00000034748358;0.02460719;0.76600161;0.015485922;0.071384612;0.010573992;0.00036696024;37.944052;;;37.267091
26000;26000;viandes, œufs, poissons;produits à base de poissons et produits de la mer;Anchois, filets à l'huile, semi-conserve, égoutté;Anchovy, fillets, in oil, semi-preserved, drained;mix de consommation FR;0;Glacé;PS;Pas de préparation;3.57;0.25821247;1.9706287;0.33843497;0.76226424;14.942501;0.16992067;0.023747491;0.068897582;0.35521911;10.210578;55.999941;36.724972;0.55632656;36.661146;11.886553;1.9706287;0.00000016992067;0.55632656;55.999941;0.000011886553;0.00000033843497;0.023747491;0.76226424;0.014942501;0.068897582;0.010210578;0.00035521911;36.724972;;;36.661146
25999;25999;viandes, œufs, poissons;produits à base de poissons et produits de la mer;Anchois, filets roulés aux câpres, semi-conserve, égoutté;Anchovy, fillets, rolled with capers, semi-preserved, drained;mix de consommation FR;0;Glacé;PS;Pas de préparation;3.1;0.25821247;1.9706287;0.33843497;0.76226424;14.942501;0.16992067;0.023747491;0.068897582;0.35521911;10.210578;55.999941;36.724972;0.55632656;36.661146;11.886553;1.9706287;0.00000016992067;0.55632656;55.999941;0.000011886553;0.00000033843497;0.023747491;0.76226424;0.014942501;0.068897582;0.010210578;0.00035521911;36.724972;;;36.661146
