STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;
#;;Crude protein;"""by-pass"" protein, or undegraded intake protein";ether extract;crude fiber;acid detergent fiber ;neutral detergent fiber;Cendre;Calcium;Phosphore;Potassium;Soufre;Zinc;Total digestible nutrient;Digestible energy;Net Energy for maintenance;Net Engergy for growth;Dry matter
#;;"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
G/100g";"TDN
%";"DE
Kcal/100g
";"NEm
Kcal/100g";"NEg
Kcal/100g";"DM
%"
COLUMNS;bcpg:code;CP;UID;EE;CF;ADF;NDF;Ash;Calcium;Phosphore;Potassium;Soufre;Zinc;TDN;DE;NE m;NE g;DM
VALUES;FEED46;6;;1.3;35;40;70;7;0.5;0.09;1.6;0.17;;59;260,15;127,87;61,73;80
VALUES;FEED47;8;25;2.8;26;31;;6;0.3;0.24;1.6;0.12;2,5;67;273,37;149,91;88,18;26
VALUES;FEED48;8;40;2.7;23;28;50;7;0.3;0.20;1.0;0.10;2,4;69;304,24;154,32;94,8;36
VALUES;FEED49;10;50;4.1;3;3;10;2;0.0;0.30;0.4;0.10;1,7;89;392,42;216,05;147,71;89
VALUES;FEED50;12;;4.4;4;;;2;0.0;0.24;0.3;0.11;;89;392,42;216,05;147,71;92
VALUES;FEED51;9;50;3.7;9;10;28;2;0.1;0.24;0.5;0.18;1;82;361,56;194,01;130,07;87
VALUES;FEED52;3;50;0.5;36;39;88;2;0.1;0.04;0.8;0.35;0,5;48;57,32;103,62;19,84;90
VALUES;FEED53;10;;6.3;10;;51;3;0.0;0.17;0.7;0.08;;76;335,1;176,37;114,64;90
VALUES;FEED54;26;;2.9;9;;41;7;0.4;0.75;0.6;0.20;10;82;361,56;194,01;130,07;90
VALUES;FEED55;45;65;2.5;5;9;37;4;0.2;0.50;0.2;0.60;4,5;84;370,38;200,62;134,48;91
VALUES;FEED56;0;;0.0;0;0;0;95;32.6;18.07;1.0;;10;0;0;0;0;99
VALUES;FEED57;115;0;0.0;0;0;0;35;0.5;20.41;0.0;2.16;;0;0;0;0;98
VALUES;FEED58;0;;0.0;0;0;0;94;22.0;18.65;0.1;1.10;7;0;0;0;0;96
VALUES;FEED59;30;60;3.7;18;;;4;0.1;0.27;;;;75;330,69;171,96;110,23;90
VALUES;FEED60;30;65;8.2;14;16;41;2;0.1;0.45;0.2;0.46;3,5;84;370,38;200,62;134,48;91
VALUES;FEED61;29;50;10.0;10;18;44;5;0.3;0.85;0.7;0.32;9;88;388,01;213,85;143,3;92
VALUES;FEED62;29;65;8.0;8;;;4;0.1;0.65;;;;86;379,2;207,23;138,89;7
VALUES;FEED63;30;;9.5;4;7;23;8;0.4;1.40;1.8;0.40;9,1;88;388,01;213,85;143,3;93
VALUES;FEED64;0;;99.0;0;0;0;0;0.0;0.00;0.0;;;195;859,8;524,7;401,24;99
VALUES;FEED65;91;50;3.3;2;20;20;4;0.2;0.78;0.3;1.80;5,3;68;299,83;152,12;90,39;94
VALUES;FEED66;16;;23.3;8;50;59;11;1.6;0.45;;;;75;330,69;171,96;110,23;23
VALUES;FEED67;14;;5.5;14;;;9;0.5;0.43;;;1,7;65;286,6;143,3;81,57;90
VALUES;FEED68;10;;2.5;15;;;10;0.3;0.18;;;4,2;73;321,88;167,55;105,82;92
VALUES;FEED69;12;;7.5;32;50;53;9;0.6;0.06;0.6;;2,4;30;132,28;81,57;0;91
VALUES;FEED70;12;20;4.6;34;38;66;9;0.8;0.22;2.0;;2,9;61;268,96;134,48;68,34;26
VALUES;FEED71;12;;7.7;6;12;50;3;0.1;0.58;0.7;0.04;0,3;94;414,47;231,49;158,73;90
VALUES;FEED72;15;;3.6;15;;;35;2.8;0.64;;;;49;216,05;105,82;24,25;37
VALUES;FEED73;15;;3.1;21;;;20;3.3;0.37;1.8;0.22;4,4;53;233,69;114,64;39,68;30
VALUES;FEED74;22;;4.0;28;0;;7;1.6;0.60;;;;39;171,96;88,18;0;89
VALUES;FEED75;0;;0.0;0;;;98;38.0;0.02;;;;0;0;0;0;98
VALUES;FEED76;39;40;1.9;10;18;25;6;0.4;1.00;1.4;0.47;6;76;335,1;176,37;114,64;91
VALUES;FEED77;8;;2.5;33;;;9;0.6;0.17;1.6;;;46;202,83;99,21;11,02;92
VALUES;FEED78;55;65;9.7;3;;;29;9.4;4.74;0.6;0.50;8,5;71;313,06;160,94;101,41;94
VALUES;FEED79;11;60;3.2;3;6;20;2;0.0;0.32;0.4;0.13;1,7;85;374,79;202,83;136,69;89
VALUES;FEED80;14;;1.8;24;;;16;1.1;0.57;;;;55;242,51;119,05;46,3;27
VALUES;FEED81;9;0;0.2;0;0;0;11;0.2;0.03;6.1;0.60;1,8;79;348,33;185,19;121,25;77
VALUES;FEED82;5;0;0.0;0;0;0;10;1.1;0.08;3.6;0.46;3;75;330,69;171,96;110,23;76
VALUES;FEED83;10;0;0.6;3;0;0;14;1.2;0.15;4.0;0.46;3;74;326,28;169,76;108,03;94
VALUES;FEED84;9;0;0.3;0;0;0;9;2.0;0.25;0.2;0.23;13,7;75;330,69;171,96;110,23;65
VALUES;FEED85;1;0;0.7;1;;;8;1.4;0.06;0.1;0.05;;76;335,1;176,37;114,64;61
VALUES;FEED86;74;0;0.0;0;0;0;24;0.3;24.70;0.0;1.42;8,1;0;0;0;0;98
VALUES;FEED87;0;;0.0;0;0;0;94;16.7;21.10;0.1;;7;0;0;0;0;97
VALUES;FEED88;9;;2.1;30;38;63;9;0.2;0.22;1.0;0.30;3,9;59;260,15;127,87;61,73;87
VALUES;FEED89;11;25;3.8;30;;;10;0.4;0.25;3.4;0.32;3,5;60;264,55;130,07;66,14;34
VALUES;FEED90;4;;2.3;41;46;70;8;0.3;0.10;2.2;0.22;0,6;50;220,46;108,03;26,46;90
VALUES;FEED91;13;30;4.0;12;17;31;4;0.1;0.40;0.5;0.22;3;74;326,28;169,76;108,03;89
VALUES;FEED92;18;25;5.5;3;;;2;0.1;0.47;0.4;0.22;;93;410,06;227,08;156,53;91
VALUES;FEED93;17;20;6.0;4;;;3;0.1;0.46;0.5;0.25;;94;414,47;231,49;158,73;90
VALUES;FEED94;9;;3.0;21;;;6;0.1;0.24;0.6;0.24;;33;145,51;81,57;0;89
VALUES;FEED95;4;;1.5;32;44;78;7;0.2;0.15;0.6;0.15;;37;163,14;85,98;0;93
VALUES;FEED96;9;;1.8;9;;;4;0.7;0.11;;;;82;361,56;194,01;130,07;89
VALUES;FEED97;18;25;5.0;24;29;50;11;0.4;0.40;2.7;0.22;2;65;286,6;143,3;81,57;24
VALUES;FEED98;11;30;3.3;34;40;70;7;0.3;0.28;2.8;0.26;1,8;59;260,15;127,87;61,73;88
VALUES;FEED99;10;;1.8;32;;;7;1.2;0.21;1.8;0.17;1,5;60;264,55;130,07;66,14;89
VALUES;FEED100;13;;3.3;31;49;59;8;1.3;0.24;1.4;0.29;;57;251,33;123,46;55,12;24
VALUES;FEED101;7;;1.3;45;;;7;;0.11;1.1;0.20;;50;220,46;108,03;26,46;89
VALUES;FEED102;25;;1.5;8;;;5;0.2;0.43;1.1;0.26;3;82;361,56;194,01;130,07;89
VALUES;FEED103;7;;1.3;63;65;74;5;0.2;0.07;0.9;;;22;97;77,16;0;92
VALUES;FEED104;52;30;1.3;11;;14;5;0.2;0.65;1.2;0.30;2,2;77;339,51;178,57;116,85;91
VALUES;FEED105;17;;22.0;13;20;28;3;;;;;;0;0;0;0;92
VALUES;FEED106;15;;3.7;26;;;19;2.1;0.29;4.0;0.37;;59;260,15;127,87;61,73;15
VALUES;FEED107;10;0;0.4;2;;;5;0.0;0.24;2.2;0.09;;80;352,74;187,39;123,46;21
VALUES;FEED108;7;0;1.5;9;;;3;0.2;0.26;1.3;0.11;1,2;82;361,56;194,01;130,07;14
VALUES;FEED109;8;0;0.5;7;;;5;0.1;0.13;1.2;;;85;374,79;202,83;136,69;89
VALUES;FEED110;5;0;0.3;10;;;9;4.2;0.18;;;;80;352,74;187,39;123,46;17
VALUES;FEED111;5;0;7.7;2;;;3;0.1;0.19;0.2;;;77;339,51;178,57;116,85;14
VALUES;FEED112;26;0;3.0;18;;;19;2.7;1.80;1.7;1.26;34;64;282,19;141,1;79,37;87
VALUES;FEED113;28;0;2.1;13;15;35;29;9.0;2.44;2.0;0.18;44,5;54;238,1;116,85;44,09;89
VALUES;FEED114;7;;2.0;35;;;8;0.4;0.13;1.1;0.06;3,4;50;220,46;108,03;26,46;91
VALUES;FEED115;41;20;2.2;14;;;8;0.7;1.14;1.4;0.28;6,6;70;308,65;158,73;97;91
VALUES;FEED116;4;;1.5;44;55;71;6;0.3;0.10;1.0;0.11;;44;194,01;94,8;2,2;89
VALUES;FEED117;13;;1.7;2;;;2;0.1;0.38;0.5;0.17;3,4;81;357,15;191,8;127,87;89
VALUES;FEED118;22;;1.0;33;41;59;6;0.3;0.73;1.0;0.28;4,4;55;242,51;119,05;46,3;91
VALUES;FEED119;48;;0.6;9;;;7;0.3;1.83;1.3;0.22;3,6;76;335,1;176,37;114,64;91
VALUES;FEED120;13;;9.2;25;28;36;10;1.0;0.25;;0.22;;50;220,46;108,03;26,46;50
VALUES;FEED121;0;;0.0;0;0;0;96;0.0;25.98;0.0;0.00;;0;0;0;0;96
